season,player_id,player_name,position,age,fantasy_points,positional_finish
1999,00-0005092,M.Faulk,RB,26.0,380.3,1.0
1999,00-0008241,E.James,RB,21.0,369.9,2.0
1999,00-0005883,E.George,RB,26.0,293.2,3.0
1999,00-0009829,D.Levens,RB,29.0,281.7,4.0
1999,00-0004052,S.Davis,RB,25.0,276.6,5.0
1999,00-0005779,C.Garner,RB,27.0,264.4,6.0
1999,00-0015165,E.Smith,RB,30.0,250.6,7.0
1999,00-0010442,C.Martin,RB,26.0,247.3,8.0
1999,00-0017322,R.Watters,RB,30.0,233.7,9.0
1999,00-0015523,D.Staley,RB,24.0,225.70000000000002,10.0
1999,00-0004304,C.Dillon,RB,25.0,212.0,11.0
1999,00-0009288,T.Kirby,RB,29.0,208.08,12.0
1999,00-0015698,J.Stewart,RB,28.0,196.9,13.0
1999,00-0017486,T.Wheatley,RB,27.0,194.2,14.0
1999,00-0005816,O.Gary,RB,24.0,192.79999999999998,15.0
1999,00-0004916,C.Enis,RB,23.0,192.6,16.0
1999,00-0004640,W.Dunn,RB,24.0,192.5,17.0
1999,00-0001215,J.Bettis,RB,27.0,185.94,18.0
1999,00-0000745,T.Barber,RB,24.0,170.7,19.0
1999,00-0013622,E.Rhett,RB,29.0,168.1,20.0
1999,00-0000232,T.Allen,RB,31.0,162.1,21.0
1999,00-0007969,R.Huntley,RB,27.0,153.0,22.0
1999,00-0015286,R.Smith,RB,27.0,152.1,23.0
1999,00-0001224,T.Biakabutuka,RB,25.0,147.7,24.0
1999,00-0007520,L.Hoard,RB,31.0,143.1,25.0
1999,00-0017915,R.Williams,RB,22.0,139.6,26.0
1999,00-0011869,A.Murrell,RB,29.0,133.8,27.0
1999,00-0016098,F.Taylor,RB,23.0,127.5,28.0
1999,00-0009038,N.Kaufman,RB,26.0,123.5,29.0
1999,00-0013262,S.Pritchett,RB,26.0,120.0,30.0
1999,00-0008529,J.Johnson,RB,25.0,102.8,31.0
1999,00-0017209,C.Warren,RB,31.0,102.7,32.0
1999,00-0015091,A.Smith,RB,27.0,98.6,33.0
1999,00-0005324,T.Fletcher,RB,26.0,93.60000000000001,34.0
1999,00-0009599,F.Lane,RB,24.0,90.8,35.0
1999,00-0011399,B.Mitchell,RB,31.0,89.5,36.0
1999,00-0007436,G.Hill,RB,27.0,84.9,37.0
1999,00-0008046,S.Irvin,RB,21.0,83.6,38.0
1999,00-0012480,K.Oxendine,RB,24.0,83.4,39.0
1999,00-0000871,M.Bates,RB,26.0,82.6,40.0
1999,00-0000003,A.al-Jabbar,RB,25.0,81.89999999999999,41.0
1999,00-0002459,K.Bynum,RB,25.0,81.60000000000001,42.0
1999,00-0007661,P.Holmes,RB,26.0,78.5,43.0
1999,00-0013013,M.Pittman,RB,24.0,75.53999999999999,44.0
1999,00-0013785,R.Rivers,RB,28.0,74.8,45.0
1999,00-0017218,L.Warren,RB,26.0,73.2,46.0
1999,00-0011081,N.Means,RB,27.0,71.8,47.0
1999,00-0004972,C.Evans,RB,32.0,69.4,48.0
1999,00-0011675,B.Morris,RB,27.0,68.1,49.0
1999,00-0000856,M.Basnight,RB,22.0,64.0,50.0
1999,00-0006456,H.Griffith,RB,32.0,63.8,51.0
1999,00-0010747,F.McCrary,RB,27.0,63.1,52.0
1999,00-0006803,B.Hanspard,RB,23.0,61.6,53.0
1999,00-0015242,L.Smith,RB,29.0,61.6,54.0
1999,00-0003271,C.Collins,RB,23.0,60.6,55.0
1999,00-0014759,R.Shehee,RB,24.0,59.4,56.0
1999,00-0015655,T.Stephens,RB,23.0,59.4,57.0
1999,00-0007389,S.Hicks,RB,25.0,58.9,58.0
1999,00-0012931,L.Phillips,RB,24.0,56.6,59.0
1999,00-0003663,Z.Crockett,RB,27.0,52.7,60.0
1999,00-0005091,K.Faulk,RB,23.0,52.5,61.0
1999,00-0011506,J.Montgomery,RB,23.0,50.8,62.0
1999,00-0008570,L.Johnson,RB,28.0,48.9,63.0
1999,00-0005110,J.Fazande,RB,24.0,44.5,64.0
1999,00-0010107,D.Loville,RB,31.0,42.3,65.0
1999,00-0012603,B.Parmalee,RB,32.0,39.6,66.0
1999,00-0016321,R.Thomas,RB,26.0,38.599999999999994,67.0
1999,00-0004054,T.Davis,RB,27.0,36.7,68.0
1999,00-0000721,T.Banks,RB,25.0,35.9,69.0
1999,00-0012556,D.Parker,RB,23.0,35.9,70.0
1999,00-0002713,T.Carter,RB,27.0,33.4,71.0
1999,00-0000210,J.Allen,RB,24.0,30.0,72.0
1999,00-0008921,R.Jordan,RB,29.0,29.4,73.0
1999,00-0008430,A.Johnson,RB,32.0,28.5,74.0
1999,00-0011392,B.Mitchell,RB,24.0,28.5,75.0
1999,00-0016331,T.Thomas,RB,33.0,27.9,76.0
1999,00-0001103,E.Bennett,RB,30.0,26.4,77.0
1999,00-0001112,S.Bennett,RB,22.0,25.3,78.0
1999,00-0012832,W.Perry,RB,24.0,24.6,79.0
1999,00-0017896,N.Luchey,RB,22.0,22.6,80.0
1999,00-0012368,W.Oliver,RB,26.0,22.599999999999998,81.0
1999,00-0000279,K.Anders,RB,33.0,21.5,82.0
1999,00-0017892,M.Williams,RB,25.0,21.1,83.0
1999,00-0001938,G.Brown,RB,30.0,19.9,84.0
1999,00-0001233,E.Bieniemy,RB,30.0,18.3,85.0
1999,00-0003136,M.Cloud,RB,24.0,18.3,86.0
1999,00-0004200,A.Denson,RB,23.0,16.6,87.0
1999,00-0007546,J.Hodgins,RB,22.0,16.5,88.0
1999,00-0004060,T.Davis,RB,24.0,15.5,89.0
1999,00-0017303,J.Watson,RB,24.0,15.4,90.0
1999,00-0010436,C.Martin,RB,24.0,13.5,91.0
1999,00-0002743,K.Carter,RB,26.0,12.899999999999999,92.0
1999,00-0008391,T.Jervey,RB,27.0,12.1,93.0
1999,00-0006305,A.Green,RB,22.0,12.0,94.0
1999,00-0003344,G.Comella,RB,24.0,11.899999999999999,95.0
1999,00-0014742,S.Shaw,RB,26.0,11.6,96.0
1999,00-0009738,A.Lee,RB,28.0,11.5,97.0
1999,00-0000316,J.Anderson,RB,27.0,11.3,98.0
1999,00-0004871,J.Ellison,RB,28.0,10.0,99.0
1999,00-0008196,T.Jackson,RB,23.0,9.1,100.0
1999,00-0000541,J.Avery,RB,23.0,8.5,101.0
1999,00-0010994,K.McLeod,RB,25.0,8.5,102.0
1999,00-0018501,A.Zereoue,RB,23.0,8.5,103.0
1999,00-0004824,K.Elias,RB,27.0,8.4,104.0
1999,00-0012515,D.Palmer,RB,27.0,7.7,105.0
1999,00-0014809,P.Shields,RB,23.0,7.699999999999999,106.0
1999,00-0007795,C.Howard,RB,24.0,7.3,107.0
1999,00-0015152,D.Smith,RB,25.0,7.0,108.0
1999,00-0012370,B.Olivo,RB,23.0,6.5,109.0
1999,00-0011333,J.Mills,RB,30.0,6.0,110.0
1999,00-0013958,C.Rogers,RB,23.0,6.0,111.0
1999,00-0012946,D.Philyaw,RB,29.0,5.9,112.0
1999,00-0001525,J.Bostic,RB,27.0,5.7,113.0
1999,00-0002873,R.Chancey,RB,27.0,5.7,114.0
1999,00-0011341,B.Milne,RB,26.0,5.0,115.0
1999,00-0000007,R.Abdullah,RB,24.0,4.3,116.0
1999,00-0010240,S.Mack,RB,24.0,4.0,117.0
1999,00-0006155,L.Gordon,RB,21.0,3.8,118.0
1999,00-0017829,J.Williams,RB,27.0,3.0,119.0
1999,00-0009819,T.Lester,RB,31.0,2.9000000000000004,120.0
1999,00-0017301,E.Watson,RB,23.0,1.7000000000000002,121.0
1999,00-0008751,G.Jones,RB,26.0,1.4999999999999998,122.0
1999,00-0002380,S.Bush,RB,25.0,1.4,123.0
1999,00-0006380,S.Greene,RB,27.0,1.4,124.0
1999,00-0008660,D.Johnston,RB,33.0,1.4,125.0
1999,00-0010951,D.McKinley,RB,23.0,1.4,126.0
1999,00-0000552,O.Ayanbadejo,RB,24.0,1.2,127.0
1999,00-0005620,C.Fuamatu-Ma'afala,RB,22.0,0.4,128.0
1999,00-0008568,L.Johnson,RB,25.0,0.2,129.0
1999,00-0010194,A.Lynn,RB,31.0,0.2,130.0
1999,00-0014256,R.Salaam,RB,25.0,0.2,131.0
1999,00-0013173,M.Powell,RB,23.0,0.1,132.0
1999,00-0001573,L.Bowie,RB,26.0,0.0,133.0
1999,00-0005071,R.Farmer,RB,25.0,0.0,134.0
1999,00-0005891,S.George,RB,26.0,0.0,135.0
