Age,rb_seasons_at_age,top36_age_count,top36_total_slots,top36_rate,top36_rate_pct,top24_age_count,top24_total_slots,top24_rate,top24_rate_pct,top12_age_count,top12_total_slots,top12_rate,top12_rate_pct,top5_age_count,top5_total_slots,top5_rate,top5_rate_pct,top3_age_count,top3_total_slots,top3_rate,top3_rate_pct,top1_age_count,top1_total_slots,top1_rate,top1_rate_pct
21,76,28,972,0.02880658436213992,2.88,19,648,0.029320987654320986,2.93,10,324,0.030864197530864196,3.09,3,135,0.022222222222222223,2.22,3,81,0.037037037037037035,3.7,1,27,0.037037037037037035,3.7
22,289,75,972,0.07716049382716049,7.72,49,648,0.07561728395061729,7.56,28,324,0.08641975308641975,8.64,12,135,0.08888888888888889,8.89,10,81,0.12345679012345678,12.35,3,27,0.1111111111111111,11.11
23,545,112,972,0.11522633744855967,11.52,71,648,0.1095679012345679,10.96,39,324,0.12037037037037036,12.04,19,135,0.14074074074074075,14.07,12,81,0.14814814814814814,14.81,3,27,0.1111111111111111,11.11
24,653,146,972,0.15020576131687244,15.02,90,648,0.1388888888888889,13.89,45,324,0.1388888888888889,13.89,24,135,0.17777777777777778,17.78,13,81,0.16049382716049382,16.05,3,27,0.1111111111111111,11.11
25,588,130,972,0.1337448559670782,13.37,87,648,0.13425925925925927,13.43,41,324,0.12654320987654322,12.65,16,135,0.11851851851851852,11.85,9,81,0.1111111111111111,11.11,3,27,0.1111111111111111,11.11
26,501,126,972,0.12962962962962962,12.96,90,648,0.1388888888888889,13.89,46,324,0.1419753086419753,14.2,20,135,0.14814814814814814,14.81,11,81,0.13580246913580246,13.58,1,27,0.037037037037037035,3.7
27,409,107,972,0.11008230452674897,11.01,85,648,0.13117283950617284,13.12,43,324,0.13271604938271606,13.27,15,135,0.1111111111111111,11.11,10,81,0.12345679012345678,12.35,6,27,0.2222222222222222,22.22
28,288,81,972,0.08333333333333333,8.33,57,648,0.08796296296296297,8.8,27,324,0.08333333333333333,8.33,13,135,0.0962962962962963,9.63,6,81,0.07407407407407407,7.41,3,27,0.1111111111111111,11.11
29,226,62,972,0.06378600823045268,6.38,38,648,0.05864197530864197,5.86,22,324,0.06790123456790123,6.79,6,135,0.044444444444444446,4.44,4,81,0.04938271604938271,4.94,3,27,0.1111111111111111,11.11
30,152,41,972,0.04218106995884774,4.22,30,648,0.046296296296296294,4.63,14,324,0.043209876543209874,4.32,5,135,0.037037037037037035,3.7,3,81,0.037037037037037035,3.7,1,27,0.037037037037037035,3.7
31,107,34,972,0.03497942386831276,3.5,19,648,0.029320987654320986,2.93,6,324,0.018518518518518517,1.85,2,135,0.014814814814814815,1.48,0,81,0.0,0.0,0,27,0.0,0.0
32,71,20,972,0.0205761316872428,2.06,8,648,0.012345679012345678,1.23,2,324,0.006172839506172839,0.62,0,135,0.0,0.0,0,81,0.0,0.0,0,27,0.0,0.0
33,40,7,972,0.00720164609053498,0.72,4,648,0.006172839506172839,0.62,1,324,0.0030864197530864196,0.31,0,135,0.0,0.0,0,81,0.0,0.0,0,27,0.0,0.0
34,20,2,972,0.00205761316872428,0.21,1,648,0.0015432098765432098,0.15,0,324,0.0,0.0,0,135,0.0,0.0,0,81,0.0,0.0,0,27,0.0,0.0
35,9,1,972,0.00102880658436214,0.1,0,648,0.0,0.0,0,324,0.0,0.0,0,135,0.0,0.0,0,81,0.0,0.0,0,27,0.0,0.0
