Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,14,2,108,0.018518518518518517,1.85,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
22,32,10,108,0.09259259259259259,9.26,6,72,0.08333333333333333,8.33,5,60,0.08333333333333333,8.33,5,45,0.1111111111111111,11.11,4,36,0.1111111111111111,11.11,3,18,0.16666666666666666,16.67,3,15,0.2,20.0,3,9,0.3333333333333333,33.33,1,3,0.3333333333333333,33.33
23,49,12,108,0.1111111111111111,11.11,7,72,0.09722222222222222,9.72,6,60,0.1,10.0,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,3,18,0.16666666666666666,16.67,3,15,0.2,20.0,2,9,0.2222222222222222,22.22,0,3,0.0,0.0
24,62,18,108,0.16666666666666666,16.67,13,72,0.18055555555555555,18.06,11,60,0.18333333333333332,18.33,7,45,0.15555555555555556,15.56,6,36,0.16666666666666666,16.67,3,18,0.16666666666666666,16.67,3,15,0.2,20.0,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
25,79,18,108,0.16666666666666666,16.67,11,72,0.1527777777777778,15.28,7,60,0.11666666666666667,11.67,6,45,0.13333333333333333,13.33,5,36,0.1388888888888889,13.89,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
26,73,19,108,0.17592592592592593,17.59,12,72,0.16666666666666666,16.67,10,60,0.16666666666666666,16.67,7,45,0.15555555555555556,15.56,4,36,0.1111111111111111,11.11,3,18,0.16666666666666666,16.67,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
27,45,9,108,0.08333333333333333,8.33,8,72,0.1111111111111111,11.11,7,60,0.11666666666666667,11.67,4,45,0.08888888888888889,8.89,3,36,0.08333333333333333,8.33,3,18,0.16666666666666666,16.67,2,15,0.13333333333333333,13.33,2,9,0.2222222222222222,22.22,1,3,0.3333333333333333,33.33
28,36,9,108,0.08333333333333333,8.33,5,72,0.06944444444444445,6.94,4,60,0.06666666666666667,6.67,2,45,0.044444444444444446,4.44,1,36,0.027777777777777776,2.78,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
29,30,6,108,0.05555555555555555,5.56,4,72,0.05555555555555555,5.56,4,60,0.06666666666666667,6.67,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,1,3,0.3333333333333333,33.33
30,13,3,108,0.027777777777777776,2.78,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,1,36,0.027777777777777776,2.78,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
31,8,2,108,0.018518518518518517,1.85,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
