player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0027793,Antonio Brown,2016,PIT,28.0,15.0,154,590,0.26101694915254237,307.3,20.486666666666668,1.0,25-30%
00-0026176,Jordy Nelson,2016,GB,31.0,16.0,152,614,0.247557003257329,304.7,19.04375,2.0,20-25%
00-0031408,Mike Evans,2016,TB,23.0,16.0,173,571,0.30297723292469353,304.1,19.00625,3.0,30%+
00-0031235,Odell Beckham Jr.,2016,NYG,24.0,16.0,169,597,0.2830820770519263,296.6,18.5375,4.0,25-30%
00-0029608,T.Y. Hilton,2016,IND,27.0,16.0,155,572,0.270979020979021,273.8,17.1125,5.0,25-30%
00-0027944,Julio Jones,2016,ATL,27.0,14.0,129,530,0.24339622641509434,259.9,18.564285714285713,6.0,20-25%
00-0032765,Michael Thomas,2016,NO,23.0,15.0,121,664,0.1822289156626506,255.70000000000002,17.046666666666667,7.0,15-20%
00-0028434,Doug Baldwin,2016,SEA,28.0,16.0,125,548,0.2281021897810219,253.6,15.85,8.0,20-25%
00-0031381,Davante Adams,2016,GB,24.0,16.0,121,614,0.1970684039087948,246.7,15.41875,9.0,15-20%
00-0031236,Brandin Cooks,2016,NO,23.0,15.0,117,664,0.17620481927710843,246.3,16.42,10.0,15-20%
00-0022921,Larry Fitzgerald,2016,ARI,33.0,16.0,150,636,0.2358490566037736,243.8,15.2375,11.0,20-25%
00-0026986,Michael Crabtree,2016,LV,29.0,16.0,145,589,0.2461799660441426,239.29999999999998,14.956249999999999,12.0,20-25%
00-0031382,Jarvis Landry,2016,MIA,24.0,16.0,131,467,0.28051391862955033,233.3,14.58125,13.0,25-30%
00-0027150,Julian Edelman,2016,NE,30.0,16.0,159,546,0.29120879120879123,232.3,14.51875,14.0,25-30%
00-0031544,Amari Cooper,2016,LV,22.0,16.0,132,589,0.22410865874363328,232.29999999999998,14.518749999999999,15.0,20-25%
00-0027874,Demaryius Thomas,2016,DEN,29.0,16.0,144,556,0.2589928057553957,226.3,14.14375,16.0,25-30%
00-0027891,Golden Tate,2016,DET,28.0,16.0,135,580,0.23275862068965517,223.1,13.94375,17.0,20-25%
00-0033040,Tyreek Hill,2016,KC,22.0,16.0,83,536,0.15485074626865672,219.0,13.6875,18.0,15-20%
00-0032160,Tyrell Williams,2016,LAC,24.0,16.0,119,564,0.21099290780141844,216.9,13.55625,19.0,20-25%
00-0028825,Terrelle Pryor,2016,CLE,27.0,16.0,140,558,0.25089605734767023,213.44,13.34,20.0,25-30%
00-0027685,Emmanuel Sanders,2016,DEN,29.0,15.0,137,556,0.24640287769784172,212.6,14.173333333333334,21.0,20-25%
00-0029580,Rishard Matthews,2016,TEN,27.0,16.0,108,490,0.22040816326530613,211.5,13.21875,22.0,20-25%
00-0026901,Mike Wallace,2016,BAL,30.0,16.0,116,665,0.17443609022556392,202.79999999999998,12.674999999999999,23.0,15-20%
00-0026345,Pierre Garcon,2016,WAS,30.0,16.0,114,593,0.19224283305227655,201.1,12.56875,24.0,15-20%
00-0031428,Allen Robinson,2016,JAX,23.0,16.0,151,623,0.24237560192616373,199.3,12.45625,25.0,20-25%
00-0031941,Jamison Crowder,2016,WAS,23.0,16.0,99,593,0.16694772344013492,197.5,12.34375,26.0,15-20%
00-0030564,DeAndre Hopkins,2016,HOU,24.0,16.0,151,577,0.2616984402079723,197.4,12.3375,27.0,25-30%
00-0030035,Adam Thielen,2016,MIN,26.0,16.0,92,585,0.15726495726495726,197.2,12.325,28.0,15-20%
00-0031359,Kelvin Benjamin,2016,CAR,25.0,16.0,118,553,0.21338155515370705,197.10000000000002,12.318750000000001,29.0,20-25%
00-0027006,Kenny Britt,2016,LA,28.0,15.0,111,530,0.20943396226415095,196.2,13.08,30.0,20-25%
00-0031588,Stefon Diggs,2016,MIN,23.0,13.0,112,585,0.19145299145299147,193.3,14.86923076923077,31.0,15-20%
00-0030663,Willie Snead,2016,NO,24.0,15.0,104,664,0.1566265060240964,191.5,12.766666666666667,32.0,15-20%
00-0029000,Cole Beasley,2016,DAL,27.0,16.0,98,479,0.2045929018789144,189.0,11.8125,33.0,20-25%
00-0027942,A.J. Green,2016,CIN,28.0,10.0,100,542,0.18450184501845018,186.4,18.64,34.0,15-20%
00-0027681,Brandon LaFell,2016,CIN,30.0,16.0,107,542,0.1974169741697417,186.0,11.625,35.0,15-20%
00-0032385,Sterling Shepard,2016,NYG,23.0,16.0,105,597,0.17587939698492464,184.4,11.525,36.0,15-20%
00-0020337,Steve Smith,2016,BAL,37.0,14.0,101,665,0.1518796992481203,183.9,13.135714285714286,37.0,15-20%
00-0026189,DeSean Jackson,2016,WAS,30.0,15.0,100,593,0.16863406408094436,180.5,12.033333333333333,38.0,15-20%
00-0031431,Marqise Lee,2016,JAX,25.0,16.0,105,623,0.16853932584269662,180.4,11.275,39.0,15-20%
00-0027902,Dez Bryant,2016,DAL,28.0,13.0,96,479,0.20041753653444677,180.0,13.846153846153847,40.0,20-25%
00-0031912,Cameron Meredith,2016,CHI,24.0,14.0,97,550,0.17636363636363636,179.48,12.819999999999999,41.0,15-20%
00-0022084,Anquan Boldin,2016,DET,36.0,16.0,95,580,0.16379310344827586,173.4,10.8375,42.0,15-20%
