season,player_id,player_name,position,age,fantasy_points,positional_finish
1999,00-0008241,E.James,RB,21.0,389.90000000000003,1.0
1999,00-0005092,M.Faulk,RB,26.0,388.3,2.0
1999,00-0005883,E.George,RB,26.0,306.2,3.0
1999,00-0004052,S.Davis,RB,25.0,302.6,4.0
1999,00-0005779,C.Garner,RB,27.0,281.40000000000003,5.0
1999,00-0015165,E.Smith,RB,30.0,279.6,6.0
1999,00-0009829,D.Levens,RB,29.0,276.70000000000005,7.0
1999,00-0010442,C.Martin,RB,26.0,272.3,8.0
1999,00-0017322,R.Watters,RB,30.0,254.70000000000002,9.0
1999,00-0015523,D.Staley,RB,24.0,244.70000000000002,10.0
1999,00-0004304,C.Dillon,RB,25.0,235.0,11.0
1999,00-0005816,O.Gary,RB,24.0,222.8,12.0
1999,00-0015698,J.Stewart,RB,28.0,202.9,13.0
1999,00-0001215,J.Bettis,RB,27.0,200.94,14.0
1999,00-0017486,T.Wheatley,RB,27.0,200.20000000000002,15.0
1999,00-0004916,C.Enis,RB,23.0,187.6,16.0
1999,00-0015286,R.Smith,RB,27.0,180.1,17.0
1999,00-0013622,E.Rhett,RB,29.0,175.10000000000002,18.0
1999,00-0009288,T.Kirby,RB,29.0,175.08,19.0
1999,00-0000232,T.Allen,RB,31.0,173.10000000000002,20.0
1999,00-0004640,W.Dunn,RB,24.0,169.5,21.0
1999,00-0001224,T.Biakabutuka,RB,25.0,154.70000000000002,22.0
1999,00-0017915,R.Williams,RB,22.0,152.60000000000002,23.0
1999,00-0016098,F.Taylor,RB,23.0,143.5,24.0
1999,00-0007969,R.Huntley,RB,27.0,137.0,25.0
1999,00-0007520,L.Hoard,RB,31.0,136.1,26.0
1999,00-0000745,T.Barber,RB,24.0,127.7,27.0
1999,00-0009038,N.Kaufman,RB,26.0,127.5,28.0
1999,00-0011869,A.Murrell,RB,29.0,112.80000000000001,29.0
1999,00-0015091,A.Smith,RB,27.0,109.60000000000001,30.0
1999,00-0008529,J.Johnson,RB,25.0,106.80000000000001,31.0
1999,00-0007436,G.Hill,RB,27.0,89.9,32.0
1999,00-0007661,P.Holmes,RB,26.0,89.5,33.0
1999,00-0017209,C.Warren,RB,31.0,83.7,34.0
1999,00-0012480,K.Oxendine,RB,24.0,83.4,35.0
1999,00-0009599,F.Lane,RB,24.0,82.8,36.0
1999,00-0013262,S.Pritchett,RB,26.0,80.0,37.0
1999,00-0002459,K.Bynum,RB,25.0,72.60000000000001,38.0
1999,00-0011399,B.Mitchell,RB,31.0,72.5,39.0
1999,00-0000003,A.al-Jabbar,RB,25.0,71.9,40.0
1999,00-0000871,M.Bates,RB,26.0,71.6,41.0
1999,00-0013013,M.Pittman,RB,24.0,71.54,42.0
1999,00-0013785,R.Rivers,RB,28.0,69.8,43.0
1999,00-0003271,C.Collins,RB,23.0,68.60000000000001,44.0
1999,00-0011675,B.Morris,RB,27.0,65.1,45.0
1999,00-0011081,N.Means,RB,27.0,63.800000000000004,46.0
1999,00-0006803,B.Hanspard,RB,23.0,63.60000000000001,47.0
1999,00-0008046,S.Irvin,RB,21.0,60.6,48.0
1999,00-0000856,M.Basnight,RB,22.0,59.0,49.0
1999,00-0011506,J.Montgomery,RB,23.0,58.8,50.0
1999,00-0005324,T.Fletcher,RB,26.0,57.6,51.0
