Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,6,4,360,0.011111111111111112,1.11,0,240,0.0,0.0,0,200,0.0,0.0,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
22,31,19,360,0.05277777777777778,5.28,11,240,0.04583333333333333,4.58,6,200,0.03,3.0,5,150,0.03333333333333333,3.33,4,120,0.03333333333333333,3.33,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,1,10,0.1,10.0
23,58,34,360,0.09444444444444444,9.44,23,240,0.09583333333333334,9.58,18,200,0.09,9.0,13,150,0.08666666666666667,8.67,11,120,0.09166666666666666,9.17,7,60,0.11666666666666667,11.67,5,50,0.1,10.0,4,30,0.13333333333333333,13.33,2,10,0.2,20.0
24,82,38,360,0.10555555555555556,10.56,28,240,0.11666666666666667,11.67,21,200,0.105,10.5,17,150,0.11333333333333333,11.33,14,120,0.11666666666666667,11.67,7,60,0.11666666666666667,11.67,5,50,0.1,10.0,2,30,0.06666666666666667,6.67,1,10,0.1,10.0
25,82,37,360,0.10277777777777777,10.28,22,240,0.09166666666666666,9.17,21,200,0.105,10.5,17,150,0.11333333333333333,11.33,14,120,0.11666666666666667,11.67,7,60,0.11666666666666667,11.67,7,50,0.14,14.0,2,30,0.06666666666666667,6.67,0,10,0.0,0.0
26,69,27,360,0.075,7.5,14,240,0.058333333333333334,5.83,11,200,0.055,5.5,8,150,0.05333333333333334,5.33,8,120,0.06666666666666667,6.67,6,60,0.1,10.0,6,50,0.12,12.0,2,30,0.06666666666666667,6.67,0,10,0.0,0.0
27,70,28,360,0.07777777777777778,7.78,16,240,0.06666666666666667,6.67,13,200,0.065,6.5,11,150,0.07333333333333333,7.33,10,120,0.08333333333333333,8.33,4,60,0.06666666666666667,6.67,4,50,0.08,8.0,3,30,0.1,10.0,3,10,0.3,30.0
28,58,24,360,0.06666666666666667,6.67,20,240,0.08333333333333333,8.33,19,200,0.095,9.5,13,150,0.08666666666666667,8.67,10,120,0.08333333333333333,8.33,5,60,0.08333333333333333,8.33,4,50,0.08,8.0,3,30,0.1,10.0,0,10,0.0,0.0
29,56,21,360,0.058333333333333334,5.83,17,240,0.07083333333333333,7.08,15,200,0.075,7.5,13,150,0.08666666666666667,8.67,10,120,0.08333333333333333,8.33,5,60,0.08333333333333333,8.33,4,50,0.08,8.0,2,30,0.06666666666666667,6.67,2,10,0.2,20.0
30,44,16,360,0.044444444444444446,4.44,12,240,0.05,5.0,11,200,0.055,5.5,7,150,0.04666666666666667,4.67,6,120,0.05,5.0,2,60,0.03333333333333333,3.33,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
