Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,39,12,360,0.03333333333333333,3.33,10,240,0.041666666666666664,4.17,9,200,0.045,4.5,6,150,0.04,4.0,6,120,0.05,5.0,3,60,0.05,5.0,2,50,0.04,4.0,2,30,0.06666666666666667,6.67,1,10,0.1,10.0
22,131,38,360,0.10555555555555556,10.56,25,240,0.10416666666666667,10.42,21,200,0.105,10.5,20,150,0.13333333333333333,13.33,15,120,0.125,12.5,7,60,0.11666666666666667,11.67,7,50,0.14,14.0,6,30,0.2,20.0,2,10,0.2,20.0
23,223,52,360,0.14444444444444443,14.44,33,240,0.1375,13.75,27,200,0.135,13.5,20,150,0.13333333333333333,13.33,18,120,0.15,15.0,10,60,0.16666666666666666,16.67,9,50,0.18,18.0,5,30,0.16666666666666666,16.67,2,10,0.2,20.0
24,248,62,360,0.17222222222222222,17.22,39,240,0.1625,16.25,32,200,0.16,16.0,25,150,0.16666666666666666,16.67,18,120,0.15,15.0,11,60,0.18333333333333332,18.33,9,50,0.18,18.0,5,30,0.16666666666666666,16.67,0,10,0.0,0.0
25,237,57,360,0.15833333333333333,15.83,38,240,0.15833333333333333,15.83,30,200,0.15,15.0,23,150,0.15333333333333332,15.33,19,120,0.15833333333333333,15.83,8,60,0.13333333333333333,13.33,8,50,0.16,16.0,5,30,0.16666666666666666,16.67,2,10,0.2,20.0
26,200,47,360,0.13055555555555556,13.06,33,240,0.1375,13.75,29,200,0.145,14.5,20,150,0.13333333333333333,13.33,14,120,0.11666666666666667,11.67,9,60,0.15,15.0,6,50,0.12,12.0,3,30,0.1,10.0,0,10,0.0,0.0
27,154,35,360,0.09722222222222222,9.72,31,240,0.12916666666666668,12.92,25,200,0.125,12.5,17,150,0.11333333333333333,11.33,13,120,0.10833333333333334,10.83,5,60,0.08333333333333333,8.33,3,50,0.06,6.0,3,30,0.1,10.0,2,10,0.2,20.0
28,101,19,360,0.05277777777777778,5.28,12,240,0.05,5.0,11,200,0.055,5.5,7,150,0.04666666666666667,4.67,6,120,0.05,5.0,4,60,0.06666666666666667,6.67,3,50,0.06,6.0,0,30,0.0,0.0,0,10,0.0,0.0
29,79,18,360,0.05,5.0,6,240,0.025,2.5,6,200,0.03,3.0,5,150,0.03333333333333333,3.33,5,120,0.041666666666666664,4.17,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,1,10,0.1,10.0
30,45,8,360,0.022222222222222223,2.22,5,240,0.020833333333333332,2.08,5,200,0.025,2.5,4,150,0.02666666666666667,2.67,3,120,0.025,2.5,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
31,33,6,360,0.016666666666666666,1.67,4,240,0.016666666666666666,1.67,2,200,0.01,1.0,2,150,0.013333333333333334,1.33,2,120,0.016666666666666666,1.67,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
32,18,1,360,0.002777777777777778,0.28,0,240,0.0,0.0,0,200,0.0,0.0,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
33,11,3,360,0.008333333333333333,0.83,3,240,0.0125,1.25,2,200,0.01,1.0,1,150,0.006666666666666667,0.67,1,120,0.008333333333333333,0.83,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
34,4,2,360,0.005555555555555556,0.56,1,240,0.004166666666666667,0.42,1,200,0.005,0.5,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
