Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,12,7,360,0.019444444444444445,1.94,4,240,0.016666666666666666,1.67,3,200,0.015,1.5,3,150,0.02,2.0,3,120,0.025,2.5,2,60,0.03333333333333333,3.33,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
22,53,19,360,0.05277777777777778,5.28,10,240,0.041666666666666664,4.17,7,200,0.035,3.5,4,150,0.02666666666666667,2.67,3,120,0.025,2.5,2,60,0.03333333333333333,3.33,2,50,0.04,4.0,2,30,0.06666666666666667,6.67,2,10,0.2,20.0
23,132,29,360,0.08055555555555556,8.06,17,240,0.07083333333333333,7.08,15,200,0.075,7.5,12,150,0.08,8.0,7,120,0.058333333333333334,5.83,3,60,0.05,5.0,3,50,0.06,6.0,0,30,0.0,0.0,0,10,0.0,0.0
24,182,37,360,0.10277777777777777,10.28,26,240,0.10833333333333334,10.83,23,200,0.115,11.5,18,150,0.12,12.0,13,120,0.10833333333333334,10.83,2,60,0.03333333333333333,3.33,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
25,191,44,360,0.12222222222222222,12.22,28,240,0.11666666666666667,11.67,21,200,0.105,10.5,14,150,0.09333333333333334,9.33,12,120,0.1,10.0,8,60,0.13333333333333333,13.33,6,50,0.12,12.0,5,30,0.16666666666666666,16.67,0,10,0.0,0.0
26,181,47,360,0.13055555555555556,13.06,28,240,0.11666666666666667,11.67,23,200,0.115,11.5,19,150,0.12666666666666668,12.67,15,120,0.125,12.5,7,60,0.11666666666666667,11.67,6,50,0.12,12.0,3,30,0.1,10.0,2,10,0.2,20.0
27,136,31,360,0.08611111111111111,8.61,21,240,0.0875,8.75,18,200,0.09,9.0,13,150,0.08666666666666667,8.67,12,120,0.1,10.0,6,60,0.1,10.0,5,50,0.1,10.0,4,30,0.13333333333333333,13.33,1,10,0.1,10.0
28,104,36,360,0.1,10.0,26,240,0.10833333333333334,10.83,22,200,0.11,11.0,14,150,0.09333333333333334,9.33,9,120,0.075,7.5,6,60,0.1,10.0,6,50,0.12,12.0,4,30,0.13333333333333333,13.33,1,10,0.1,10.0
29,91,33,360,0.09166666666666666,9.17,24,240,0.1,10.0,19,200,0.095,9.5,15,150,0.1,10.0,13,120,0.10833333333333334,10.83,8,60,0.13333333333333333,13.33,6,50,0.12,12.0,4,30,0.13333333333333333,13.33,1,10,0.1,10.0
30,65,21,360,0.058333333333333334,5.83,12,240,0.05,5.0,10,200,0.05,5.0,8,150,0.05333333333333334,5.33,7,120,0.058333333333333334,5.83,3,60,0.05,5.0,3,50,0.06,6.0,1,30,0.03333333333333333,3.33,1,10,0.1,10.0
31,51,15,360,0.041666666666666664,4.17,12,240,0.05,5.0,11,200,0.055,5.5,9,150,0.06,6.0,9,120,0.075,7.5,6,60,0.1,10.0,5,50,0.1,10.0,3,30,0.1,10.0,1,10,0.1,10.0
32,29,12,360,0.03333333333333333,3.33,11,240,0.04583333333333333,4.58,9,200,0.045,4.5,7,150,0.04666666666666667,4.67,6,120,0.05,5.0,2,60,0.03333333333333333,3.33,2,50,0.04,4.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
33,17,10,360,0.027777777777777776,2.78,7,240,0.029166666666666667,2.92,6,200,0.03,3.0,3,150,0.02,2.0,3,120,0.025,2.5,2,60,0.03333333333333333,3.33,2,50,0.04,4.0,1,30,0.03333333333333333,3.33,1,10,0.1,10.0
34,12,9,360,0.025,2.5,6,240,0.025,2.5,6,200,0.03,3.0,5,150,0.03333333333333333,3.33,3,120,0.025,2.5,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
35,10,3,360,0.008333333333333333,0.83,3,240,0.0125,1.25,3,200,0.015,1.5,2,150,0.013333333333333334,1.33,2,120,0.016666666666666666,1.67,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
36,3,2,360,0.005555555555555556,0.56,2,240,0.008333333333333333,0.83,2,200,0.01,1.0,2,150,0.013333333333333334,1.33,1,120,0.008333333333333333,0.83,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
37,5,3,360,0.008333333333333333,0.83,2,240,0.008333333333333333,0.83,2,200,0.01,1.0,2,150,0.013333333333333334,1.33,2,120,0.016666666666666666,1.67,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
38,4,2,360,0.005555555555555556,0.56,1,240,0.004166666666666667,0.42,0,200,0.0,0.0,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
