Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,45,10,360,0.027777777777777776,2.78,6,240,0.025,2.5,4,200,0.02,2.0,3,150,0.02,2.0,3,120,0.025,2.5,3,60,0.05,5.0,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
22,170,25,360,0.06944444444444445,6.94,17,240,0.07083333333333333,7.08,12,200,0.06,6.0,8,150,0.05333333333333334,5.33,6,120,0.05,5.0,3,60,0.05,5.0,3,50,0.06,6.0,0,30,0.0,0.0,0,10,0.0,0.0
23,324,46,360,0.12777777777777777,12.78,23,240,0.09583333333333334,9.58,17,200,0.085,8.5,15,150,0.1,10.0,14,120,0.11666666666666667,11.67,6,60,0.1,10.0,6,50,0.12,12.0,4,30,0.13333333333333333,13.33,1,10,0.1,10.0
24,375,50,360,0.1388888888888889,13.89,37,240,0.15416666666666667,15.42,30,200,0.15,15.0,20,150,0.13333333333333333,13.33,14,120,0.11666666666666667,11.67,8,60,0.13333333333333333,13.33,7,50,0.14,14.0,5,30,0.16666666666666666,16.67,4,10,0.4,40.0
25,329,47,360,0.13055555555555556,13.06,31,240,0.12916666666666668,12.92,27,200,0.135,13.5,21,150,0.14,14.0,17,120,0.14166666666666666,14.17,10,60,0.16666666666666666,16.67,7,50,0.14,14.0,5,30,0.16666666666666666,16.67,0,10,0.0,0.0
26,275,40,360,0.1111111111111111,11.11,30,240,0.125,12.5,26,200,0.13,13.0,22,150,0.14666666666666667,14.67,17,120,0.14166666666666666,14.17,9,60,0.15,15.0,8,50,0.16,16.0,5,30,0.16666666666666666,16.67,1,10,0.1,10.0
27,227,41,360,0.11388888888888889,11.39,27,240,0.1125,11.25,22,200,0.11,11.0,15,150,0.1,10.0,10,120,0.08333333333333333,8.33,6,60,0.1,10.0,3,50,0.06,6.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
28,184,32,360,0.08888888888888889,8.89,19,240,0.07916666666666666,7.92,19,200,0.095,9.5,15,150,0.1,10.0,13,120,0.10833333333333334,10.83,5,60,0.08333333333333333,8.33,5,50,0.1,10.0,4,30,0.13333333333333333,13.33,3,10,0.3,30.0
29,141,25,360,0.06944444444444445,6.94,23,240,0.09583333333333334,9.58,20,200,0.1,10.0,13,150,0.08666666666666667,8.67,11,120,0.09166666666666666,9.17,5,60,0.08333333333333333,8.33,5,50,0.1,10.0,3,30,0.1,10.0,1,10,0.1,10.0
30,98,19,360,0.05277777777777778,5.28,13,240,0.05416666666666667,5.42,11,200,0.055,5.5,9,150,0.06,6.0,7,120,0.058333333333333334,5.83,3,60,0.05,5.0,3,50,0.06,6.0,2,30,0.06666666666666667,6.67,0,10,0.0,0.0
31,59,10,360,0.027777777777777776,2.78,6,240,0.025,2.5,4,200,0.02,2.0,4,150,0.02666666666666667,2.67,3,120,0.025,2.5,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,1,30,0.03333333333333333,3.33,0,10,0.0,0.0
32,51,7,360,0.019444444444444445,1.94,3,240,0.0125,1.25,3,200,0.015,1.5,1,150,0.006666666666666667,0.67,1,120,0.008333333333333333,0.83,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
33,27,5,360,0.013888888888888888,1.39,4,240,0.016666666666666666,1.67,4,200,0.02,2.0,3,150,0.02,2.0,3,120,0.025,2.5,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
34,14,1,360,0.002777777777777778,0.28,1,240,0.004166666666666667,0.42,1,200,0.005,0.5,1,150,0.006666666666666667,0.67,1,120,0.008333333333333333,0.83,1,60,0.016666666666666666,1.67,1,50,0.02,2.0,0,30,0.0,0.0,0,10,0.0,0.0
35,7,1,360,0.002777777777777778,0.28,0,240,0.0,0.0,0,200,0.0,0.0,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
36,5,1,360,0.002777777777777778,0.28,0,240,0.0,0.0,0,200,0.0,0.0,0,150,0.0,0.0,0,120,0.0,0.0,0,60,0.0,0.0,0,50,0.0,0.0,0,30,0.0,0.0,0,10,0.0,0.0
