season,draft_pick,player_name,position,college,landing_team,confirmed_status
2024,6,Malik Nabers,WR,LSU,NYG,unconfirmed
2024,37,Ja'Lynn Polk,WR,Washington,NWE,unconfirmed
2024,46,Jonathon Brooks,RB,Texas,CAR,unconfirmed
2024,65,Malachi Corley,WR,Western Kentucky,NYJ,unconfirmed
2024,66,Trey Benson,RB,Florida St.,ARI,unconfirmed
2024,80,Jermaine Burton,WR,Alabama,CIN,unconfirmed
2024,83,Blake Corum,RB,Michigan,LAR,unconfirmed
2024,84,Roman Wilson,WR,Michigan,PIT,unconfirmed
2024,88,MarShawn Lloyd,RB,USC,GNB,unconfirmed
2024,92,Jalen McMillan,WR,Washington,TAM,unconfirmed
2024,100,Luke McCaffrey,WR,Rice,WAS,unconfirmed
2024,110,Javon Baker,WR,Central Florida,NWE,no_row
2024,113,Devontez Walker,WR,North Carolina,BAL,unconfirmed
2024,127,Will Shipley,RB,Clemson,PHI,unconfirmed
2024,128,Ray Davis,RB,Kentucky,BUF,unconfirmed
2024,129,Isaac Guerendo,RB,Louisville,SFO,unconfirmed
2024,134,Braelon Allen,RB,Wisconsin,NYJ,unconfirmed
2024,135,Jacob Cowing,WR,Arizona,SFO,unconfirmed
2024,142,Anthony Gould,WR,Oregon St.,IND,unconfirmed
2024,147,Audric Estime,RB,Notre Dame,DEN,unconfirmed
2024,152,Ainias Smith,WR,Texas A&M,PHI,no_row
2024,156,Jamari Thrash,WR,Louisville,CLE,no_row
2024,165,Rasheen Ali,RB,Marshall,BAL,unconfirmed
2024,167,Keilan Robinson,RB,Texas,JAX,no_row
2024,170,Bub Means,WR,Pittsburgh,NOR,unconfirmed
2024,182,Jha'Quan Jackson,WR,Tulane,TEN,no_row
2024,185,Johnny Wilson,WR,Florida St.,PHI,unconfirmed
2024,186,Jase McClellan,RB,Alabama,ATL,no_row
2024,187,Casey Washington,WR,Illinois,ATL,unconfirmed
2024,191,Tejhaun Palmer,WR,Ala-Birmingham,ARI,no_row
2024,205,Jawhar Jordan,RB,Louisville,HOU,unconfirmed
2024,208,Dylan Laube,RB,New Hampshire,LVR,unconfirmed
2024,213,Jordan Whittington,WR,Texas,LAR,unconfirmed
2024,225,Brenden Rice,WR,USC,LAC,unconfirmed
2024,241,Tahj Washington,WR,USC,MIA,no_row
2024,253,Cornelius Johnson,WR,Michigan,LAC,no_row
2025,2,Travis Hunter,WR,Colorado,JAX,unconfirmed
2025,58,Jack Bech,WR,TCU,LVR,unconfirmed
2025,69,Kyle Williams,WR,Washington St.,NWE,unconfirmed
2025,70,Isaac TeSlaa,WR,Arkansas,DET,unconfirmed
2025,79,Jaylin Noel,WR,Iowa St.,HOU,unconfirmed
2025,83,Kaleb Johnson,RB,Iowa,PIT,unconfirmed
2025,87,Savion Williams,WR,TCU,GNB,unconfirmed
2025,102,Tai Felton,WR,Maryland,MIN,unconfirmed
2025,104,Bhayshul Tuten,RB,Virginia Tech,JAX,unconfirmed
2025,105,Cam Skattebo,RB,Arizona St.,NYG,unconfirmed
2025,110,Arian Smith,WR,Georgia,NYJ,unconfirmed
2025,114,Trevor Etienne,RB,Georgia,CAR,unconfirmed
2025,117,Jarquez Hunter,RB,Auburn,LAR,unconfirmed
2025,126,Dylan Sampson,RB,Tennessee,CLE,unconfirmed
2025,128,Jaylin Lane,WR,Virginia Tech,WAS,unconfirmed
2025,133,Jalen Royals,WR,Utah St.,KAN,unconfirmed
2025,138,Jordan Watkins,WR,Mississippi,SFO,unconfirmed
2025,147,Jordan James,RB,Oregon,SFO,unconfirmed
2025,149,Jaydon Blue,RB,Texas,DAL,unconfirmed
2025,158,KeAndre Lambert-Smith,WR,Auburn,LAC,unconfirmed
2025,166,Tory Horton,WR,Colorado St.,SEA,unconfirmed
2025,179,Ollie Gordon,RB,Oklahoma St.,MIA,unconfirmed
2025,184,Devin Neal,RB,Kansas,NOR,unconfirmed
2025,188,Kalel Mullings,RB,Michigan,TEN,unconfirmed
2025,193,Tahj Brooks,RB,Texas Tech,CIN,unconfirmed
2025,203,LaJohntay Wester,WR,Colorado,BAL,unconfirmed
2025,208,Jimmy Horn,WR,Colorado,CAR,unconfirmed
2025,223,Damien Martinez,RB,Miami (FL),SEA,unconfirmed
2025,228,Brashard Smith,RB,SMU,KAN,unconfirmed
2025,236,LeQuint Allen,RB,Syracuse,JAX,unconfirmed
2025,238,Ricky White,WR,UNLV,SEA,unconfirmed
2025,239,Phil Mafah,RB,Clemson,DAL,unconfirmed
2025,240,Kaden Prather,WR,Maryland,BUF,no_row
2025,242,Konata Mumpfield,WR,Pittsburgh,LAR,unconfirmed
2025,244,Dominic Lovett,WR,Georgia,DET,no_row
2025,252,Junior Bergen,WR,Montana,SFO,no_row
