scored_at_utc,breakout_rank,player_name,overall_adp,breakout_probability_v1
2026-08-27T04:55:21.611348+00:00,1,Denzel Boston,143.0,0.5470040866311389
2026-08-27T04:55:21.611348+00:00,2,Romeo Doubs,122.0,0.49306291761766274
2026-08-27T04:55:21.611348+00:00,3,De'Zhaun Stribling,133.0,0.468220209488495
2026-08-27T04:55:21.611348+00:00,4,Wan'Dale Robinson,112.0,0.4502241182313564
2026-08-27T04:55:21.611348+00:00,5,KC Concepcion,113.0,0.3926800136999414
2026-08-27T04:55:21.611348+00:00,6,Khalil Shakir,130.0,0.36072504012266554
2026-08-27T04:55:21.611348+00:00,7,Xavier Worthy,121.0,0.3580018761106217
2026-08-27T04:55:21.611348+00:00,8,Josh Downs,110.0,0.3081799859866312
2026-08-27T04:55:21.611348+00:00,9,Deebo Samuel,129.0,0.29438744588981375
2026-08-27T04:55:21.611348+00:00,10,Michael Pittman,100.0,0.2795537628013897
2026-08-27T04:55:21.611348+00:00,11,Michael Wilson,88.0,0.2572226350286616
2026-08-27T04:55:21.611348+00:00,12,Jordan Addison,101.0,0.2526319641929986
2026-08-27T04:55:21.611348+00:00,13,Quentin Johnston,102.0,0.24686184407583087
2026-08-27T04:55:21.611348+00:00,14,Jalen Coker,136.0,0.2442106927012256
2026-08-27T04:55:21.611348+00:00,15,Makai Lemon,85.0,0.2359255932621319
2026-08-27T04:55:21.611348+00:00,16,Courtland Sutton,84.0,0.22685420290257458
2026-08-27T04:55:21.611348+00:00,17,Jordyn Tyson,79.0,0.22522305415803925
2026-08-27T04:55:21.611348+00:00,18,Alec Pierce,92.0,0.20740962893155693
2026-08-27T04:55:21.611348+00:00,19,DK Metcalf,78.0,0.19987258839434524
2026-08-27T04:55:21.611348+00:00,20,Matthew Golden,123.0,0.1966858836140588
