player_id,player_name,position,team,bye_week,age,injury_status,projection_points,projection_rank,position_rank,tier,ceiling_projection,floor_projection,adp,adp_rank,expert_rank,projection_source,injury_risk,durability_grade,boom_score,bust_score,stability_score,archetype
9221,Jahmyr Gibbs,RB,DET,6.0,24.0,Questionable,337.2,1.0,2.0,1.0,,,1.1,1.0,2.0,real,65.0,,,,,
9493,Puka Nacua,WR,LAR,11.0,25.0,Active,281.3,1.0,2.0,1.0,,,4.0,4.0,4.0,real,30.0,,,,,
8130,Trey McBride,TE,ARI,14.0,26.0,Active,199.8,1.0,2.0,3.0,,,29.0,28.0,19.0,real,30.0,,,,,
4984,Josh Allen,QB,BUF,7.0,30.0,Active,372.2,1.0,1.0,4.0,,,35.7,36.0,26.0,real,30.0,,,,,
9509,Bijan Robinson,RB,ATL,11.0,24.0,Active,332.2,2.0,1.0,1.0,,,2.0,2.0,1.0,real,30.0,,,,,
7564,Ja'Marr Chase,WR,CIN,6.0,26.0,Active,275.4,2.0,1.0,1.0,,,3.1,3.0,3.0,real,30.0,,,,,
11604,Brock Bowers,TE,LV,13.0,23.0,Active,195.5,2.0,1.0,3.0,,,19.7,20.0,17.0,real,30.0,,,,,
11564,Drake Maye,QB,NE,11.0,23.0,Active,326.9,2.0,3.0,5.0,,,66.7,66.0,34.0,real,30.0,,,,,
9488,Jaxon Smith-Njigba,WR,SEA,11.0,24.0,Active,268.6,3.0,3.0,1.0,,,5.5,5.0,5.0,real,30.0,,,,,
4034,Christian McCaffrey,RB,SF,8.0,30.0,Active,295.7,3.0,3.0,2.0,,,6.0,6.0,7.0,real,30.0,,,,,
12517,Colston Loveland,TE,CHI,10.0,22.0,Active,170.3,3.0,3.0,5.0,,,46.0,46.0,38.0,real,30.0,,,,,
4881,Lamar Jackson,QB,BAL,13.0,29.0,Active,325.0,3.0,2.0,5.0,,,55.2,55.0,33.0,real,30.0,,,,,
7547,Amon-Ra St. Brown,WR,DET,6.0,26.0,Active,261.1,4.0,4.0,2.0,,,7.1,7.0,6.0,real,30.0,,,,,
6813,Jonathan Taylor,RB,IND,13.0,27.0,Active,289.9,4.0,4.0,2.0,,,8.1,8.0,9.0,real,30.0,,,,,
12518,Tyler Warren,TE,IND,13.0,24.0,Active,160.7,4.0,4.0,6.0,,,63.8,65.0,60.0,real,30.0,,,,,
11566,Jayden Daniels,QB,WAS,7.0,25.0,Active,324.6,4.0,6.0,6.0,,,67.9,67.0,56.0,real,30.0,,,,,
3198,Derrick Henry,RB,BAL,13.0,32.0,Active,264.2,5.0,12.0,4.0,,,17.4,17.0,25.0,real,30.0,,,,,
8112,Drake London,WR,ATL,11.0,25.0,Active,238.3,5.0,7.0,3.0,,,21.0,21.0,12.0,real,30.0,,,,,
6904,Jalen Hurts,QB,PHI,10.0,27.0,Active,320.6,5.0,5.0,6.0,,,71.6,70.0,55.0,real,30.0,,,,,
7553,Kyle Pitts,TE,ATL,11.0,25.0,Active,155.9,5.0,8.0,8.0,,,103.8,103.0,85.0,real,30.0,,,,,
6786,CeeDee Lamb,WR,DAL,14.0,27.0,Active,224.2,6.0,5.0,2.0,,,9.6,9.0,8.0,real,30.0,,,,,
9226,De'Von Achane,RB,MIA,6.0,24.0,Active,259.3,6.0,7.0,3.0,,,18.1,18.0,14.0,real,30.0,,,,,
12508,Jaxson Dart,QB,NYG,8.0,23.0,Active,311.8,6.0,9.0,7.0,,,101.1,101.0,76.0,real,30.0,,,,,
