player_name,team,player_id,games,attempts,rushing_fantasy_pct,seasons_used,qb_archetype_primary
Josh Allen,BUF,00-0034857,32,943,0.3445339114276866,"2024,2025",dual_threat
Drake Maye,NE,00-0039851,30,830,0.21449729918104202,"2024,2025",balanced
Lamar Jackson,BAL,00-0034796,30,776,0.23909074848359932,"2024,2025",balanced
Jayden Daniels,WAS,00-0039910,24,668,0.3364619465415221,"2024,2025",dual_threat
Jalen Hurts,PHI,00-0036389,31,815,0.36243847259164147,"2024,2025",dual_threat
Jaxson Dart,NYG,00-0040691,14,339,0.405000394352867,2025,dual_threat
Joe Burrow,CIN,00-0036442,25,911,0.06638791079812208,"2024,2025",pocket_passer
Brock Purdy,SF,00-0037834,24,739,0.19143962598742545,"2024,2025",balanced
Dak Prescott,DAL,00-0033077,25,886,0.0881406819644006,"2024,2025",pocket_passer
Trevor Lawrence,JAX,00-0036971,27,844,0.22955468690120331,"2024,2025",balanced
Patrick Mahomes,KC,00-0033873,30,1083,0.1891358024691358,"2024,2025",balanced
Justin Herbert,LAC,00-0036355,33,1016,0.17276759118289536,"2024,2025",balanced
Caleb Williams,CHI,00-0039918,34,1130,0.17754674947681093,"2024,2025",balanced
Bo Nix,DEN,00-0039732,34,1179,0.20187564703733027,"2024,2025",balanced
Matthew Stafford,LAR,00-0026498,33,1114,0.006919731119019375,"2024,2025",pocket_passer
Jared Goff,DET,00-0033106,34,1117,0.015260947085310205,"2024,2025",pocket_passer
Tyler Shough,NO,00-0040743,11,327,0.21284019539427773,2025,balanced
Baker Mayfield,TB,00-0034855,34,1113,0.1437359857413902,"2024,2025",balanced
Kyler Murray,MIN,00-0035228,22,702,0.26884336528636077,"2024,2025",balanced
Daniel Jones,IND,00-0035710,23,725,0.21238805223395207,"2024,2025",balanced
Malik Willis,MIA,00-0038128,10,89,0.4122265844083006,"2024,2025",unconfirmed
Jordan Love,GB,00-0036264,30,864,0.0688128772635815,"2024,2025",pocket_passer
Sam Darnold,SEA,00-0034869,34,1022,0.06002813307599201,"2024,2025",pocket_passer
C.J. Stroud,HOU,00-0039163,31,955,0.10525874360479745,"2024,2025",balanced
Bryce Young,CAR,00-0039150,30,862,0.20407722541355333,"2024,2025",balanced
Geno Smith,NYJ,00-0030565,32,1026,0.0994244889859099,"2024,2025",pocket_passer
Jacoby Brissett,ARI,00-0033119,21,646,0.09774841580153701,"2024,2025",pocket_passer
Cam Ward,TEN,00-0040676,17,540,0.12997298052734557,2025,balanced
Aaron Rodgers,PIT,00-0023459,33,1082,0.043883285857263844,"2024,2025",pocket_passer
