player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Jahmyr Gibbs,DET,24.0,1.1,00-0039139,0.170909090909091,17.0,,67.0,0.3681318681318681,0.44,0.0576131687242798,0.6495327102803738,0.7053140096618358,243.0,94.0,337.0,0.6358490566037736,0.7642276422764228,5.746875,1.0,bellcow,mixed-down,receiving_lean
Bijan Robinson,ATL,24.0,2.0,00-0038542,0.198458574181118,17.0,,49.0,0.3602941176470588,0.4390243902439024,0.0555555555555555,0.8067632850241546,0.8658536585365854,287.0,103.0,390.0,0.6989247311827957,0.865546218487395,6.278688524590164,1.0,bellcow,3-down,receiving_lean
Christian McCaffrey,SF,30.0,6.0,00-0033280,0.234545454545455,17.0,,100.0,0.5263157894736842,0.8043478260869565,0.0353697749196141,0.943661971830986,0.8877887788778878,311.0,129.0,440.0,0.8088235294117647,0.9148936170212766,5.147699757869249,1.0,bellcow,3-down,receiving_lean
Jonathan Taylor,IND,27.0,8.1,00-0036223,0.10377358490566,17.0,,76.0,0.4086021505376344,0.6779661016949152,0.0493827160493827,0.7743589743589744,0.8075601374570447,323.0,55.0,378.0,0.84,0.7142857142857143,5.3197831978319785,1.0,bellcow,3-down,receiving_lean
Derrick Henry,BAL,32.0,17.4,00-0032764,0.0515970515970516,17.0,,65.0,0.4012345679012346,0.7692307692307693,0.0684039087947882,0.2647058823529412,0.3880597014925373,307.0,21.0,328.0,0.7053763440860215,0.2876712328767123,5.419254658385094,1.0,bellcow,2-down,none
De'Von Achane,MIA,24.0,18.1,00-0039040,0.19548160173160176,16.0,,43.0,0.3138686131386861,0.34375,0.1008403361344537,0.6302083333333334,0.7365384615384616,238.0,85.0,323.0,0.6715176715176715,0.8252427184466019,6.026229508196721,1.0,bellcow,mixed-down,explosive_lean
James Cook,BUF,26.0,11.4,00-0037248,0.0835073068893528,17.0,,59.0,0.3025641025641025,0.40625,0.0517799352750809,0.2,0.4595588235294117,309.0,40.0,349.0,0.6883629191321499,0.45454545454545453,5.590643274853801,1.0,bellcow,2-down,none
Ashton Jeanty,LV,22.0,11.5,00-0040122,0.147773279352227,17.0,,45.0,0.4128440366972477,0.85,0.0187265917602996,0.6666666666666666,0.7280550774526678,266.0,73.0,339.0,0.8432835820895522,0.7684210526315789,4.1152647975077885,1.0,bellcow,3-down,receiving_lean
Chase Brown,CIN,26.0,15.9,00-0038597,0.144736842105263,17.0,,49.0,0.3402777777777778,0.5757575757575758,0.03862660944206,0.3665158371040724,0.6529411764705882,232.0,88.0,320.0,0.7191011235955056,0.7927927927927928,4.837209302325581,1.0,bellcow,2-down,receiving_lean
Saquon Barkley,PHI,29.0,13.5,00-0034844,0.11449353448275844,16.0,,52.0,0.3443708609271523,0.5102040816326531,0.0462633451957295,0.6285714285714286,0.7247191011235955,280.0,50.0,330.0,0.7534246575342466,0.7246376811594203,4.457413249211356,1.0,bellcow,mixed-down,receiving_lean
Josh Jacobs,GB,28.0,41.1,00-0035700,0.1084057971014493,15.0,,58.0,0.3558282208588957,0.6666666666666666,0.0427350427350427,0.4223300970873786,0.4826923076923077,234.0,44.0,278.0,0.5991379310344828,0.5641025641025641,4.485185185185185,1.0,bellcow,mixed-down,none
Omarion Hampton,LAC,23.0,14.6,00-0040666,0.12152777777777768,9.0,corrected,28.0,0.1806451612903225,0.4285714285714285,0.064516129032258,0.3187250996015936,0.3290937996820349,124.0,35.0,159.0,0.375886524822695,0.5072463768115942,4.7243589743589745,3.0,committee_back,2-down,none
Breece Hall,NYJ,25.0,29.5,00-0038120,0.10805084745762682,16.0,,33.0,0.2661290322580645,0.3571428571428571,0.0699588477366255,0.3580786026200873,0.5330948121645797,243.0,48.0,291.0,0.697841726618705,0.5714285714285714,5.07168458781362,1.0,bellcow,2-down,receiving_lean
Kenneth Walker,KC,27.0,15.2,00-0038134,0.0791208791208791,17.0,,37.0,0.2242424242424242,0.2040816326530612,0.0814479638009049,0.233009708737864,0.4313725490196078,221.0,36.0,257.0,0.5099206349206349,0.5625,5.194444444444445,1.0,committee_back,2-down,explosive_lean
Jeremiyah Love,ARI,21.0,26.8,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Kyren Williams,LAR,25.0,32.2,00-0037840,0.0860585197934596,17.0,,63.0,0.3165829145728643,0.5660377358490566,0.0463320463320463,0.7616580310880829,0.7326892109500805,259.0,50.0,309.0,0.6477987421383647,0.78125,5.196610169491525,1.0,bellcow,3-down,receiving_lean
Cam Skattebo,NYG,24.0,43.6,00-0040715,0.13518886679920475,8.0,corrected,28.0,0.1686746987951807,0.25,0.0392156862745098,0.2622222222222222,0.2339688041594454,101.0,32.0,133.0,0.2686868686868687,0.32323232323232326,4.936,3.0,committee_back,2-down,none
Javonte Williams,DAL,26.0,36.3,00-0036997,0.0892710049423394,16.0,,66.0,0.3402061855670103,0.5714285714285714,0.0515873015873015,0.6124401913875598,0.6641337386018237,252.0,51.0,303.0,0.6516129032258065,0.6219512195121951,4.662020905923345,1.0,bellcow,mixed-down,receiving_lean
Travis Etienne,NO,27.0,40.4,00-0036973,0.0950639853747715,17.0,,64.0,0.3168316831683168,0.4727272727272727,0.0346153846153846,0.2396313364055299,0.5462046204620462,260.0,52.0,312.0,0.697986577181208,0.6666666666666666,4.726351351351352,1.0,bellcow,2-down,receiving_lean
D'Andre Swift,CHI,27.0,49.8,00-0036275,0.0958646616541353,16.0,,41.0,0.2383720930232558,0.4444444444444444,0.0538116591928251,0.5263157894736842,0.5348837209302325,223.0,48.0,271.0,0.5657620041753654,0.6075949367088608,5.392996108949417,1.0,bellcow,mixed-down,receiving_lean
Bucky Irving,TB,23.0,55.5,00-0039361,0.10998151571164513,10.0,corrected,22.0,0.1496598639455782,0.1875,0.0231213872832369,0.175438596491228,0.3338870431893688,173.0,35.0,208.0,0.42535787321063395,0.38461538461538464,4.261083743842365,1.0,committee_back,2-down,none
Quinshon Judkins,CLE,22.0,53.7,00-0040784,0.083743842364532,14.0,,34.0,0.288135593220339,0.5428571428571428,0.0303030303030303,0.1489361702127659,0.2945990180032733,230.0,36.0,266.0,0.5576519916142557,0.2975206611570248,3.8984375,1.0,bellcow,2-down,none
Bhayshul Tuten,JAX,23.0,50.6,00-0040719,0.02900670322973794,15.0,,28.0,0.1386138613861386,0.1636363636363636,0.0119047619047619,,0.1534653465346534,83.0,14.0,97.0,0.21700223713646533,0.1794871794871795,4.150537634408602,2.0,committee_back,2-down,none
TreVeyon Henderson,NE,23.0,53.6,00-0040734,0.0871369294605809,17.0,,40.0,0.2484472049689441,0.3620689655172414,0.0555555555555555,0.3484848484848485,0.4482758620689655,180.0,42.0,222.0,0.4879120879120879,0.5060240963855421,5.265116279069767,1.0,committee_back,2-down,none
David Montgomery,HOU,29.0,48.5,00-0035685,0.0527272727272727,17.0,,37.0,0.2032967032967033,0.5,0.0377358490566037,0.397196261682243,0.359098228663446,158.0,29.0,187.0,0.35283018867924526,0.23577235772357724,4.989010989010989,2.0,committee_back,2-down,none
Jadarian Price,SEA,22.0,62.4,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Tony Pollard,TEN,29.0,75.0,00-0035261,0.0773584905660377,17.0,,20.0,0.2083333333333333,0.4137931034482758,0.0413223140495867,0.3632478632478632,0.560702875399361,242.0,41.0,283.0,0.672209026128266,0.44086021505376344,4.683636363636364,1.0,bellcow,2-down,none
Jaylen Warren,PIT,27.0,71.9,00-0037228,0.09159482758620696,16.0,,45.0,0.2848101265822785,0.4782608695652174,0.0473933649289099,0.2952380952380952,0.4013722126929674,211.0,45.0,256.0,0.5278350515463918,0.3409090909090909,5.143426294820717,2.0,committee_back,2-down,none
Rico Dowdle,PIT,28.0,87.3,00-0036139,0.104166666666667,17.0,,40.0,0.2816901408450704,0.4666666666666667,0.0421940928270042,0.3853658536585366,0.5099457504520796,236.0,50.0,286.0,0.5933609958506224,0.5434782608695652,4.992727272727273,1.0,bellcow,2-down,receiving_lean
Chuba Hubbard,CAR,27.0,83.4,00-0036555,0.09208333333333334,15.0,,25.0,0.176056338028169,0.2666666666666666,0.0,0.551219512195122,0.4520795660036166,134.0,39.0,173.0,0.35892116182572614,0.42391304347826086,4.475609756097561,1.0,bellcow,mixed-down,none
Rhamondre Stevenson,NE,28.0,75.8,00-0036875,0.09321280379371663,14.0,,33.0,0.2049689440993788,0.293103448275862,0.0687022900763358,0.6717171717171717,0.5462794918330308,130.0,37.0,167.0,0.367032967032967,0.4457831325301205,5.851851851851852,2.0,committee_back,3-down,receiving_lean
J.K. Dobbins,DEN,27.0,97.0,00-0036158,0.0407534246575342,10.0,,20.0,0.1204819277108433,0.3055555555555556,0.0784313725490196,0.1244635193133047,0.2184087363494539,153.0,14.0,167.0,0.3686534216335541,0.12844036697247707,4.932926829268292,2.0,committee_back,2-down,none
RJ Harvey,DEN,25.0,86.7,00-0040730,0.0993150684931507,17.0,,40.0,0.2409638554216867,0.4166666666666667,0.0272108843537414,0.2918454935622318,0.4290171606864275,146.0,58.0,204.0,0.4503311258278146,0.5321100917431193,4.642487046632124,1.0,committee_back,2-down,none
Rachaad White,WAS,27.0,108.7,00-0037256,0.0831792975970425,17.0,,29.0,0.1972789115646258,0.3125,0.0300751879699248,0.7543859649122807,0.584717607973422,132.0,45.0,177.0,0.3619631901840491,0.4945054945054945,4.593023255813954,2.0,committee_back,3-down,receiving_lean
Aaron Jones,MIN,31.0,122.9,00-0033293,0.12410968660968659,12.0,corrected,19.0,0.1407407407407407,0.25,0.0378787878787878,0.3230769230769231,0.364963503649635,132.0,41.0,173.0,0.4148681055155875,0.5324675324675324,4.66875,2.0,committee_back,2-down,none
Kyle Monangai,CHI,24.0,96.7,00-0040236,0.056390977443609,17.0,,41.0,0.2383720930232558,0.3888888888888889,0.0409356725146198,0.3903508771929824,0.4119601328903654,169.0,30.0,199.0,0.4154488517745303,0.379746835443038,5.064171122994653,2.0,committee_back,2-down,none
Kenny Gainwell,TB,27.0,,,,,,40.0,0.2531645569620253,0.3478260869565217,0.0526315789473684,,,,,,,,,,unconfirmed,not_applicable,none
Jacory Croskey-Merritt,WAS,25.0,118.1,00-0040242,0.030092592592592598,17.0,,33.0,0.2275862068965517,0.375,0.0397727272727272,,0.292156862745098,175.0,13.0,188.0,0.47,0.23636363636363636,4.744565217391305,1.0,committee_back,2-down,none
Jonathon Brooks,CAR,23.0,91.6,00-0039344,,3.0,,,,,,,,,3.0,12.0,0.027777777777777776,,,4.0,unconfirmed,not_applicable,none
Jordan Mason,MIN,27.0,110.5,00-0037525,0.036324786324786335,16.0,,30.0,0.2222222222222222,0.375,0.0566037735849056,0.3230769230769231,0.3905109489051095,159.0,16.0,175.0,0.4196642685851319,0.2077922077922078,4.676300578034682,1.0,committee_back,2-down,none
