player_name,position,team,adp,adp_rank,age,injury_status,injury_risk,player_id,career_touches,snap_share,depth_chart_competition,target_share_rate,opportunity_share_rate,games_recent,target_share_data_quality_flag,redzone_target_share,redzone_carry_share,td_rate_vs_baseline,value_signal_market,volatility_diagnostic,target_share_percentile,opportunity_share_percentile,snap_share_percentile,epa_rank,pace_rank,scoring_rank,home_climate,road_cold_games,bye_week,season_sos_rank,short_week_or_primetime_games,injury_score,injury_acute_score,injury_chronic_score,games_missed_by_season,injury_severity_by_season,injury_override_note,role_usage_td_score,role_usage_td_override_note,offense_environment_score,schedule_weather_venue_score,risk_index
Jahmyr Gibbs,RB,DET,1.1,1.0,24.0,Questionable,65.0,00-0039139,856.0,0.6706096451319381,0.5,0.170909090909091,0.3291015625,17.0,,0.1666666666666666,0.5652173913043478,2.179948116304494,0.0,0.12627098604871134,0.9754098360655737,0.9180327868852459,0.9453125,9.0,13.0,3.0,dome,2.0,6.0,24.0,5.0,1.0,1.0,1.0,"{""2023"": 2, ""2024"": 0, ""2025"": 0}","{""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.0,,1.3,2.4,3.0
Puka Nacua,WR,LAR,4.0,4.0,25.0,Active,30.0,00-0039075,346.0,0.6405286343612335,1.5,0.3035714285714288,0.3035714285714288,16.0,,0.1559633027522936,0.0111111111111111,1.096912297340164,0.0,0.16801541425818892,0.9783783783783784,0.9783783783783784,0.8072916666666666,2.0,4.0,1.0,dome,1.0,11.0,5.0,6.0,1.4,1.4,1.0,"{""2023"": 0, ""2024"": 6, ""2025"": 1}","{""2023"": ""minor"", ""2024"": ""moderate"", ""2025"": ""minor""}",,1.6,,1.0,2.8,9.4
Trey McBride,TE,ARI,29.0,28.0,26.0,Active,30.0,00-0037744,348.0,0.9101321585903084,0.5,0.273905996758509,0.273905996758509,17.0,,0.3238095238095238,0.0,1.169729558851096,1.0,0.06245161290322592,1.0,1.0,1.0,24.0,16.0,20.0,outdoor,1.0,14.0,7.0,0.0,1.0,1.0,1.0,"{""2022"": 5, ""2023"": 0, ""2024"": 1, ""2025"": 0}","{""2022"": ""moderate"", ""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.0,,3.4,2.1,20.3
Josh Allen,QB,BUF,35.7,36.0,30.0,Active,30.0,00-0034857,872.0,0.913427561837456,0.5,0.0,0.11420345489443377,16.0,,0.0,0.282051282051282,2.0902938931267823,0.0,0.0279786958713034,0.4391891891891892,0.9594594594594594,0.8513513513513513,3.0,8.0,2.0,outdoor,4.0,7.0,12.0,5.0,1.0,1.0,1.0,"{""2018"": 5, ""2019"": 1, ""2020"": 1, ""2021"": 0, ""2022"": 1, ""2023"": 0, ""2024"": 1, ""2025"": 1}","{""2018"": ""moderate"", ""2019"": ""minor"", ""2020"": ""minor"", ""2021"": ""minor"", ""2022"": ""minor"", ""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.4,,1.0,4.0,7.8
Bijan Robinson,RB,ATL,2.0,2.0,24.0,Active,30.0,00-0038542,1003.0,0.7846715328467153,0.5,0.198458574181118,0.3816046966731898,17.0,,0.203125,0.5,1.164756734880361,0.0,0.17177412764566485,0.9918032786885246,0.9754098360655737,0.984375,23.0,14.0,23.0,outdoor,2.0,11.0,26.0,3.0,1.0,1.0,1.0,"{""2023"": 0, ""2024"": 0, ""2025"": 0}","{""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.0,,3.3,2.0,13.2
Ja'Marr Chase,WR,CIN,3.1,3.0,26.0,Active,30.0,00-0036900,541.0,0.8883888388838884,0.5,0.32329358552631615,0.32329358552631615,16.0,,0.2682926829268293,0.0,0.8663114166493341,0.0,0.09151319536738167,0.9945945945945946,0.9945945945945946,0.984375,18.0,15.0,10.0,outdoor,2.0,6.0,32.0,3.0,1.0,1.0,1.0,"{""2021"": 0, ""2022"": 5, ""2023"": 1, ""2024"": 0, ""2025"": 1}","{""2021"": ""minor"", ""2022"": ""moderate"", ""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.0,,2.5,2.1,15.1
Brock Bowers,TE,LV,19.7,20.0,23.0,Active,30.0,00-0039338,183.0,0.6092648539778449,2.5,0.24662618083670726,0.24662618083670726,12.0,corrected,0.2903225806451613,0.0,1.42107640620753,-1.0,0.0797872340425532,0.9907407407407407,0.9907407407407407,0.8508771929824561,32.0,32.0,31.0,dome,4.0,13.0,20.0,0.0,2.7,2.7,1.0,"{""2024"": 0, ""2025"": 5}","{""2024"": ""minor"", ""2025"": ""moderate""}",,2.3,,5.0,1.9,56.7
Drake Maye,QB,NE,66.7,66.0,23.0,Active,30.0,00-0039851,158.0,0.959780621572212,0.5,0.0020746887966805,0.10341365461847389,17.0,,0.0,0.231578947368421,1.8003649862501367,1.0,0.016874122746132283,0.9054054054054054,0.9459459459459459,0.9054054054054054,1.0,18.0,4.0,outdoor,2.0,11.0,19.0,4.0,1.1,1.1,1.0,"{""2024"": 4, ""2025"": 0}","{""2024"": ""moderate"", ""2025"": ""minor""}",,1.0,,1.0,2.6,3.3
Jaxon Smith-Njigba,WR,SEA,5.5,5.0,24.0,Active,30.0,00-0038543,294.0,0.7791353383458647,0.5,0.358241758241758,0.358241758241758,17.0,,0.2615384615384615,0.0,1.1000779893959798,0.0,0.12290061252716863,1.0,1.0,0.90625,15.0,20.0,13.0,outdoor,1.0,11.0,2.0,4.0,1.0,1.0,1.0,"{""2023"": 0, ""2024"": 0, ""2025"": 0}","{""2023"": ""minor"", ""2024"": ""minor"", ""2025"": ""minor""}",,1.0,,2.4,3.2,15.3
Christian McCaffrey,RB,SF,6.0,6.0,30.0,Active,30.0,00-0033280,2284.0,0.8314005352363961,0.5,0.234545454545455,0.41706161137440756,17.0,,0.2777777777777778,0.75,1.5913738261804142,0.0,0.1108235923976087,1.0,1.0,1.0,6.0,6.0,8.0,outdoor,2.0,8.0,15.0,5.0,5.0,5.0,4.6,"{""2017"": 1, ""2018"": 1, ""2019"": 1, ""2020"": 14, ""2021"": 10, ""2022"": 0, ""2023"": 1, ""2024"": 13, ""2025"": 0}","{""2017"": ""minor"", ""2018"": ""minor"", ""2019"": ""minor"", ""2020"": ""season_ending"", ""2021"": ""moderate"", ""2022"": ""minor"", ""2023"": ""minor"", ""2024"": ""season_ending"", ""2025"": ""minor""}",,1.0,,1.0,2.9,60.0
