player_name,position,draft_season,draft_pick,landing_team,college,height_inches,weight,forty_time,college_dominator_final_year,college_dominator_career,breakout_age,projected_tier,composite,sample_weight,status,tag,display_weight,display_status,display_tag,component_draft_capital,component_dominator,component_athletic,component_roster_competition,component_offense_environment,component_schedule,component_breakout_age,games,attempts,rushing_data_status,component_ncaa_passer_rating,generated_at
Jeremiyah Love,RB,2026,3,ARI,Notre Dame,72.0,212.0,4.36,,44.1,,bellcow,72.1,0.0,projected,bellcow,0.0,projected,bellcow,97.5,97.0,97.8,20.0,40.0,72.5,,,,,,2026-08-17T02:16:54+00:00
Carnell Tate,WR,2026,4,TEN,Ohio St.,74.25,192.0,4.53,23.3,,,complementary,63.1,0.0,projected,complementary,0.0,projected,complementary,96.1,51.3,,60.0,7.5,97.5,20.0,,,,,2026-08-17T02:16:54+00:00
Jordyn Tyson,WR,2026,8,NO,Arizona St.,74.12,203.0,,24.4,,,complementary,67.8,0.0,projected,complementary,0.0,projected,complementary,92.5,53.7,,80.0,30.0,100.0,20.0,,,,,2026-08-17T02:16:54+00:00
Makai Lemon,WR,2026,20,PHI,USC,71.12,192.0,,30.0,,,complementary,63.9,0.0,projected,complementary,0.0,projected,complementary,83.2,66.0,,60.0,55.0,35.0,20.0,,,,,2026-08-17T02:16:54+00:00
KC Concepcion,WR,2026,24,CLE,Texas A&M,71.62,196.0,,27.2,,,complementary,61.8,0.0,projected,complementary,0.0,projected,complementary,80.5,59.8,,80.0,12.5,67.5,20.0,,,,,2026-08-17T02:16:54+00:00
Jadarian Price,RB,2026,32,SEA,Notre Dame,70.62,203.0,4.49,,25.1,,committee,68.3,0.0,projected,committee,0.0,projected,committee,78.4,55.2,83.2,60.0,65.0,45.0,,,,,,2026-08-17T02:16:54+00:00
De'Zhaun Stribling,WR,2026,33,SF,Mississippi,74.12,207.0,4.36,17.3,,,complementary,59.4,0.0,projected,complementary,0.0,projected,complementary,75.0,38.1,,60.0,100.0,52.5,20.0,,,,,2026-08-17T02:16:54+00:00
Denzel Boston,WR,2026,39,CLE,Washington,75.62,212.0,,27.7,,,complementary,58.9,0.0,projected,complementary,0.0,projected,complementary,71.7,60.9,,80.0,12.5,67.5,20.0,,,,,2026-08-17T02:16:54+00:00
Germie Bernard,WR,2026,47,PIT,Alabama,73.25,206.0,4.48,21.8,,,complementary,58.7,0.0,projected,complementary,0.0,projected,complementary,67.8,48.0,,80.0,60.0,60.0,20.0,,,,,2026-08-17T02:16:54+00:00
Antonio Williams,WR,2026,71,WAS,Clemson,71.5,187.0,4.41,,,,complementary,51.1,0.0,projected,complementary,0.0,projected,complementary,58.2,50.0,,60.0,45.0,55.0,20.0,,,,,2026-08-17T02:16:54+00:00
