player_name,position,team,adp,adp_rank,projection_points,sportsbook_half_ppr_points,adp_position_rank,sportsbook_position_rank,position_rank_gap,projection_gap,projection_gap_pct,categories_available
Jahmyr Gibbs,RB,DET,1.1,1.0,337.2,297.15,RB1,RB1,0.0,-40.05,-11.877,5
Puka Nacua,WR,LAR,4.0,4.0,281.3,237.7,WR2,WR2,0.0,-43.6,-15.499,4
Trey McBride,TE,ARI,29.0,28.0,199.8,187.7,TE2,TE1,1.0,-12.1,-6.056,3
Josh Allen,QB,BUF,35.7,36.0,372.2,361.93,QB1,QB1,0.0,-10.27,-2.759,4
Bijan Robinson,RB,ATL,2.0,2.0,332.2,279.65,RB2,RB2,0.0,-52.55,-15.819,5
Ja'Marr Chase,WR,CIN,3.1,3.0,275.4,251.3,WR1,WR1,0.0,-24.1,-8.751,4
Brock Bowers,TE,LV,19.7,20.0,195.5,180.5,TE1,TE2,-1.0,-15.0,-7.673,4
Drake Maye,QB,NE,66.7,66.0,326.9,321.43,QB3,QB2,1.0,-5.47,-1.673,4
Jaxon Smith-Njigba,WR,SEA,5.5,5.0,268.6,237.5,WR3,WR3,0.0,-31.1,-11.579,4
Christian McCaffrey,RB,SF,6.0,6.0,295.7,264.65,RB3,RB3,0.0,-31.05,-10.501,5
Colston Loveland,TE,CHI,46.0,46.0,170.3,150.6,TE3,TE3,0.0,-19.7,-11.568,4
Lamar Jackson,QB,BAL,55.2,55.0,325.0,306.43,QB2,QB7,-5.0,-18.57,-5.714,4
Amon-Ra St. Brown,WR,DET,7.1,7.0,261.1,235.8,WR4,WR4,0.0,-25.3,-9.69,4
Jonathan Taylor,RB,IND,8.1,8.0,289.9,245.75,RB4,RB4,0.0,-44.15,-15.229,5
Tyler Warren,TE,IND,63.8,65.0,160.7,149.6,TE4,TE4,0.0,-11.1,-6.907,4
Jayden Daniels,QB,WAS,67.9,67.0,324.6,306.93,QB4,QB6,-2.0,-17.67,-5.444,4
Derrick Henry,RB,BAL,17.4,17.0,264.2,227.75,RB11,RB6,5.0,-36.45,-13.796,5
Drake London,WR,ATL,21.0,21.0,238.3,200.3,WR8,WR7,1.0,-38.0,-15.946,4
Jalen Hurts,QB,PHI,71.6,70.0,320.6,313.43,QB6,QB5,1.0,-7.17,-2.236,4
