player_name,team,age,adp,player_id,target_share,games_played,snap_share,redzone_target_share,redzone_targets,adot,targets,te_archetype_primary,te_leans,te_role_profile
Trey McBride,ARI,26.0,29.0,00-0037744,0.273905996758509,17.0,0.9101321585903084,0.3238095238095238,34.0,6.623529411764705,169.0,receiving_te,none,elite
Brock Bowers,LV,23.0,19.7,00-0039338,0.24662618083670726,12.0,0.6092648539778449,0.2903225806451613,18.0,6.436781609195402,86.0,receiving_te,none,elite
Colston Loveland,CHI,22.0,46.0,00-0040126,0.16376879699248154,16.0,0.6074523396880416,0.2112676056338028,15.0,8.987951807228916,82.0,receiving_te,none,complementary
Tyler Warren,IND,24.0,63.8,00-0040128,0.211320754716981,17.0,0.8386194029850746,0.2771084337349397,23.0,5.280701754385965,112.0,receiving_te,red_zone,elite
Kyle Pitts,ATL,25.0,103.8,00-0036970,0.227360308285164,17.0,0.8768248175182481,0.203125,13.0,7.302521008403361,118.0,receiving_te,none,elite
Harold Fannin,CLE,22.0,102.4,00-0040663,0.2177921455938693,16.0,0.7257617728531855,0.1929824561403508,11.0,5.981481481481482,107.0,receiving_te,none,elite
Sam LaPorta,DET,25.0,91.7,00-0039065,0.16828282828282828,9.0,0.470427661510464,0.0666666666666666,6.0,5.653061224489796,49.0,receiving_te,none,complementary
Dallas Goedert,PHI,31.0,134.6,00-0034351,0.20028735632183853,15.0,0.7466793168880456,0.2459016393442623,15.0,7.109756097560975,82.0,receiving_te,none,elite
Tucker Kraft,GB,25.0,79.5,00-0038996,0.20326086956521744,8.0,0.417697431018078,0.1739130434782608,12.0,4.568181818181818,44.0,receiving_te,none,elite
Travis Kelce,KC,36.0,121.3,00-0030506,0.19672131147541,17.0,0.8104222821203954,0.1604938271604938,13.0,6.743119266055046,108.0,receiving_te,none,complementary
George Kittle,SF,32.0,114.1,00-0033288,0.19388429752066047,11.0,0.4942016057091882,0.1444444444444444,13.0,6.666666666666667,69.0,receiving_te,none,complementary
Mark Andrews,BAL,30.0,126.1,00-0034753,0.171990171990172,17.0,0.621301775147929,0.2678571428571428,15.0,7.257142857142857,70.0,receiving_te,red_zone,elite
Isaiah Likely,NYG,26.0,127.6,00-0037838,0.12530712530712537,12.0,0.480276134122288,0.1071428571428571,6.0,7.972222222222222,36.0,balanced,none,
Dalton Kincaid,BUF,26.0,126.5,00-0038933,0.14491997216423075,12.0,0.2667844522968198,0.1153846153846153,9.0,9.3,49.0,unconfirmed,none,
Jake Ferguson,DAL,27.0,131.3,00-0038041,0.168039538714992,17.0,0.6627318718381113,0.2403846153846154,25.0,4.611650485436893,102.0,receiving_te,red_zone,elite
Hunter Henry,NE,31.0,152.6,00-0033090,0.180497925311203,17.0,0.7943327239488117,0.3333333333333333,22.0,8.160919540229886,87.0,receiving_te,red_zone,elite
Juwan Johnson,NO,29.0,156.3,00-0036040,0.180530973451327,17.0,0.7562277580071174,0.1538461538461538,8.0,7.578431372549019,102.0,receiving_te,none,complementary
Brenton Strange,JAX,25.0,150.1,00-0038935,0.15539305301645326,12.0,0.5139130434782608,0.1149425287356321,10.0,6.9,60.0,receiving_te,none,complementary
Dalton Schultz,HOU,30.0,168.5,00-0034383,0.191681735985533,17.0,0.7129310344827586,0.1518987341772152,12.0,6.158878504672897,106.0,receiving_te,none,complementary
T.J. Hockenson,MIN,29.0,170.7,00-0035229,0.1598290598290598,15.0,0.6903096903096904,0.1428571428571428,11.0,4.984848484848484,66.0,receiving_te,none,complementary
Pat Freiermuth,PIT,27.0,193.9,00-0036894,0.11724137931034487,15.0,0.5063045586808923,0.1153846153846153,9.0,5.981481481481482,54.0,balanced,none,
Greg Dulcich,MIA,26.0,179.0,00-0037252,0.13492063492063486,9.0,0.2497451580020387,0.1044776119402985,7.0,4.5588235294117645,33.0,unconfirmed,none,
Kenyon Sadiq,NYJ,21.0,162.3,,,,,,,,,unconfirmed,none,
Cade Otton,TB,27.0,189.3,00-0038129,0.16968576709796726,15.0,0.8756613756613757,0.0921052631578947,7.0,5.109756097560975,81.0,receiving_te,none,complementary
AJ Barner,SEA,24.0,174.8,00-0039793,0.149450549450549,17.0,0.7772556390977443,0.2,13.0,4.367647058823529,68.0,balanced,red_zone,
Chig Okonkwo,WAS,26.0,139.5,,,,,0.0980392156862745,5.0,4.632911392405063,,unconfirmed,none,
Oronde Gadsden,LAC,23.0,152.1,00-0040189,0.1437500000000004,15.0,0.5485564304461942,0.189873417721519,15.0,9.043478260869565,69.0,balanced,red_zone,
Terrance Ferguson,LAR,23.0,180.5,00-0040737,0.06649976529494606,11.0,0.3136563876651982,0.0275229357798165,3.0,18.64,25.0,blocking_te,none,
