team,home_climate,road_cold_games,bye_week,season_sos_rank,short_week_or_primetime_games
ARI,outdoor,1,14,7,0
ATL,outdoor,2,11,26,3
BAL,outdoor,3,13,28,4
BUF,outdoor,4,7,12,5
CAR,outdoor,1,5,25,3
CHI,outdoor,1,10,11,5
CIN,outdoor,2,6,32,3
CLE,outdoor,4,11,31,1
DAL,outdoor,1,14,6,7
DEN,outdoor,3,10,21,5
DET,dome,2,6,24,5
GB,outdoor,2,11,9,6
HOU,outdoor,5,8,14,4
IND,outdoor,2,13,30,2
JAX,outdoor,3,7,17,3
KC,outdoor,3,5,18,6
LA,dome,1,11,5,6
LAC,dome,2,7,16,3
LV,dome,4,13,20,0
MIA,outdoor,4,6,4,0
MIN,dome,3,6,1,4
NE,outdoor,2,11,19,4
NO,dome,2,8,29,1
NYG,outdoor,1,8,10,4
NYJ,outdoor,2,13,13,0
PHI,outdoor,2,10,3,6
PIT,outdoor,3,9,27,5
SEA,outdoor,1,11,2,4
SF,outdoor,2,8,15,5
TB,outdoor,2,10,22,3
TEN,outdoor,1,9,23,0
WAS,outdoor,1,7,8,4
