player_name,team,age,adp,player_id,target_share,games_played,target_share_data_quality_flag,redzone_target_share,redzone_targets,adot,receptions,targets,rush_attempts,yards_per_reception,yac_per_reception,rush_attempts_per_game,rush_yards_per_attempt,qb_tier,team_wr1_target_share,wr_archetype_primary,wr_leans,wr_qb_context
Puka Nacua,LAR,25.0,4.0,00-0039075,0.3035714285714288,16.0,,0.1559633027522936,17.0,9.433734939759036,129.0,166.0,10.0,13.294573643410853,5.162790697674419,0.625,10.5,1.0,0.3035714285714288,alpha,none,elite_qb_context
Ja'Marr Chase,CIN,26.0,3.1,00-0036900,0.32329358552631615,16.0,,0.2682926829268293,22.0,8.486486486486486,125.0,185.0,3.0,11.296,5.12,0.1875,4.666666666666667,1.0,0.32329358552631615,alpha,none,elite_qb_context
Jaxon Smith-Njigba,SEA,24.0,5.5,00-0038543,0.358241758241758,17.0,,0.2615384615384615,17.0,11.245398773006135,119.0,163.0,7.0,15.067226890756302,4.436974789915967,0.4117647058823529,5.142857142857143,3.0,0.358241758241758,alpha,none,average_qb_context
Amon-Ra St. Brown,DET,26.0,7.1,00-0036963,0.312727272727273,17.0,,0.3888888888888889,35.0,8.081395348837209,117.0,172.0,3.0,11.974358974358974,4.871794871794871,0.17647058823529413,3.0,2.0,0.312727272727273,alpha,none,elite_qb_context
Drake London,ATL,25.0,21.0,00-0037238,0.3057161207450221,12.0,corrected,0.25,16.0,10.805309734513274,68.0,112.0,0.0,13.514705882352942,3.3676470588235294,0.0,,4.0,0.3057161207450221,alpha,none,below_average_qb_context
CeeDee Lamb,DAL,27.0,9.6,00-0036358,0.25205930807248833,13.0,corrected,0.1634615384615384,17.0,11.991452991452991,75.0,117.0,1.0,14.36,4.306666666666667,0.07692307692307693,2.0,1.0,0.25205930807248833,alpha,none,elite_qb_context
Rashee Rice,KC,26.0,25.1,00-0039067,0.30191256830601004,8.0,corrected,0.2345679012345679,19.0,4.278481012658228,53.0,78.0,5.0,10.773584905660377,7.811320754716981,0.625,4.0,3.0,0.30191256830601004,alpha,yac,average_qb_context
Justin Jefferson,MIN,27.0,10.3,00-0036322,0.301282051282051,17.0,,0.2467532467532467,19.0,10.126760563380282,84.0,141.0,2.0,12.476190476190476,5.369047619047619,0.11764705882352941,3.5,5.0,0.301282051282051,alpha,none,below_average_qb_context
A.J. Brown,NE,29.0,18.6,00-0035676,0.2955459770114948,15.0,corrected,0.2131147540983606,13.0,11.776859504132233,78.0,121.0,0.0,12.85897435897436,3.4358974358974357,0.0,,1.0,0.2955459770114948,alpha,none,elite_qb_context
George Pickens,DAL,25.0,23.5,00-0037247,0.225700164744646,17.0,,0.2307692307692307,24.0,11.210144927536232,93.0,137.0,0.0,15.365591397849462,5.150537634408602,0.0,,1.0,0.25205930807248833,high_floor,none,elite_qb_context
Chris Olave,NO,26.0,30.0,00-0037239,0.29336283185840656,16.0,,0.2884615384615384,15.0,11.801282051282053,100.0,156.0,1.0,11.63,2.89,0.0625,-3.0,5.0,0.29336283185840656,alpha,none,below_average_qb_context
Nico Collins,HOU,27.0,22.7,00-0036554,0.24593128390596747,15.0,corrected,0.240506329113924,19.0,12.636363636363637,71.0,120.0,2.0,15.732394366197184,4.563380281690141,0.13333333333333333,7.5,4.0,0.24593128390596747,alpha,deep_threat,below_average_qb_context
Zay Flowers,BAL,25.0,30.3,00-0039064,0.28992628992629,17.0,,0.2142857142857142,12.0,10.117647058823527,86.0,118.0,10.0,14.081395348837209,5.325581395348837,0.5882352941176471,6.2,3.0,0.28992628992629,alpha,none,average_qb_context
Garrett Wilson,NYJ,26.0,40.0,00-0037740,0.30357142857142855,7.0,corrected,0.081967213114754,5.0,8.916666666666666,36.0,59.0,0.0,10.972222222222221,2.7777777777777777,0.0,,5.0,0.30357142857142855,alpha,none,below_average_qb_context
DeVonta Smith,PHI,27.0,27.4,00-0036912,0.243534482758621,17.0,,0.1967213114754098,12.0,11.885964912280702,77.0,113.0,0.0,13.090909090909092,3.8051948051948052,0.0,,3.0,0.243534482758621,alpha,none,average_qb_context
Malik Nabers,NYG,23.0,27.4,00-0039337,0.3368162675098938,19.0,corrected,0.0588235294117647,4.0,15.857142857142858,18.0,205.0,0.0,15.055555555555555,2.888888888888889,0.0,,3.0,0.3368162675098938,alpha,deep_threat,average_qb_context
Emeka Egbuka,TB,23.0,31.8,00-0040129,0.234750462107209,17.0,,0.1973684210526315,15.0,12.28125,63.0,127.0,2.0,14.88888888888889,5.317460317460317,0.11764705882352941,4.5,4.0,0.234750462107209,high_floor,none,below_average_qb_context
Tetairoa McMillan,CAR,23.0,38.9,00-0040124,0.254166666666667,17.0,,0.2083333333333333,15.0,11.557377049180328,70.0,122.0,0.0,14.485714285714286,3.842857142857143,0.0,,5.0,0.254166666666667,alpha,none,below_average_qb_context
Davante Adams,LAR,33.0,51.0,00-0031381,0.23825915908532114,14.0,corrected,0.2935779816513761,32.0,12.666666666666666,60.0,114.0,0.0,13.15,1.95,0.0,,1.0,0.3035714285714288,high_floor,none,elite_qb_context
Tee Higgins,CIN,27.0,34.0,00-0036410,0.18267543859649146,15.0,corrected,0.1951219512195122,16.0,13.272727272727272,59.0,98.0,0.0,14.338983050847459,2.8135593220338984,0.0,,1.0,0.32329358552631615,boom_bust,deep_threat,elite_qb_context
Jameson Williams,DET,25.0,51.9,00-0037240,0.185454545454545,17.0,,0.1,9.0,12.637254901960784,65.0,102.0,6.0,17.184615384615384,6.7846153846153845,0.35294117647058826,2.0,2.0,0.312727272727273,boom_bust,deep_threat,elite_qb_context
Terry McLaurin,WAS,30.0,44.2,00-0035659,0.2361111111111113,10.0,corrected,0.1568627450980392,8.0,13.983333333333333,38.0,60.0,0.0,15.31578947368421,2.4473684210526314,0.0,,1.0,0.2361111111111113,boom_bust,deep_threat,elite_qb_context
Rome Odunze,CHI,24.0,59.9,00-0039919,0.23966165413533824,12.0,corrected,0.1830985915492957,13.0,13.75824175824176,44.0,90.0,0.0,15.022727272727273,4.863636363636363,0.0,,2.0,0.23966165413533824,boom_bust,deep_threat,elite_qb_context
Alec Pierce,IND,26.0,81.5,00-0037664,0.17962264150943413,15.0,corrected,0.108433734939759,9.0,18.964285714285715,47.0,84.0,0.0,21.340425531914892,3.702127659574468,0.0,,2.0,0.17962264150943413,boom_bust,deep_threat,elite_qb_context
Ladd McConkey,LAC,24.0,34.7,00-0039915,0.20703125000000044,16.0,,0.189873417721519,15.0,9.867924528301886,66.0,106.0,0.0,11.954545454545455,4.696969696969697,0.0,,4.0,0.224264705882353,high_floor,none,below_average_qb_context
DJ Moore,BUF,29.0,56.1,00-0034827,0.159774436090226,17.0,,0.1549295774647887,11.0,11.623529411764704,50.0,85.0,15.0,13.64,4.44,0.8823529411764706,5.266666666666667,1.0,0.21072546972860132,boom_bust,none,elite_qb_context
Jaylen Waddle,DEN,27.0,39.6,00-0036613,0.2299783549783545,16.0,,0.1641791044776119,11.0,13.06,64.0,100.0,2.0,14.21875,3.5625,0.125,14.0,2.0,0.2299783549783545,high_floor,deep_threat,elite_qb_context
Luther Burden,CHI,22.0,43.7,00-0040735,0.1278195488721804,15.0,,0.056338028169014,4.0,7.666666666666667,47.0,60.0,6.0,13.872340425531915,7.1063829787234045,0.4,6.166666666666667,2.0,0.23966165413533824,complementary,yac,elite_qb_context
Mike Evans,SF,32.0,47.7,00-0031408,0.24353049907578625,8.0,corrected,0.1184210526315789,9.0,13.290322580645162,30.0,62.0,0.0,12.266666666666667,1.2333333333333334,0.0,,2.0,0.24353049907578625,alpha,none,elite_qb_context
Courtland Sutton,DEN,30.0,84.1,00-0034348,0.212328767123288,17.0,,0.2247191011235955,20.0,12.336,74.0,124.0,0.0,13.743243243243244,3.0,0.0,,2.0,0.2299783549783545,high_floor,none,elite_qb_context
Marvin Harrison,ARI,23.0,68.3,00-0039849,0.16761210156672032,12.0,corrected,0.1047619047619047,11.0,12.783783783783784,41.0,73.0,0.0,14.829268292682928,2.902439024390244,0.0,,4.0,0.204213938411669,boom_bust,deep_threat,below_average_qb_context
Christian Watson,GB,27.0,57.1,00-0038124,0.2032608695652168,10.0,corrected,0.0869565217391304,6.0,17.763636363636362,35.0,55.0,1.0,17.457142857142856,3.3714285714285714,0.1,3.0,2.0,0.2032608695652168,boom_bust,deep_threat,elite_qb_context
DK Metcalf,PIT,28.0,76.1,00-0035640,0.21494252873563208,15.0,corrected,0.1666666666666666,13.0,10.545454545454543,59.0,99.0,2.0,14.40677966101695,7.016949152542373,0.13333333333333333,6.0,3.0,0.21494252873563208,high_floor,none,average_qb_context
Jakobi Meyers,JAX,29.0,107.5,00-0034960,0.23658906882591102,16.0,,0.1034482758620689,9.0,9.37704918032787,75.0,110.0,5.0,11.133333333333333,3.76,0.3125,2.6,3.0,0.23658906882591102,high_floor,none,average_qb_context
Michael Pittman,PIT,28.0,99.2,00-0036252,0.209433962264151,17.0,,0.216867469879518,18.0,7.956140350877193,80.0,111.0,0.0,9.8,3.2375,0.0,,3.0,0.21494252873563208,high_floor,none,average_qb_context
Parker Washington,JAX,24.0,63.4,00-0038606,0.1845292504570385,16.0,,0.1839080459770115,16.0,12.237113402061857,58.0,95.0,7.0,14.60344827586207,4.568965517241379,0.4375,0.0,3.0,0.23658906882591102,boom_bust,none,average_qb_context
Carnell Tate,TEN,21.0,59.4,,,,,,,,,,,,,,,5.0,0.29572564612326074,unconfirmed,none,below_average_qb_context
Brian Thomas,JAX,23.0,62.3,00-0039893,0.20201096892138928,14.0,corrected,0.0804597701149425,7.0,14.45054945054945,48.0,91.0,3.0,14.729166666666666,3.3125,0.21428571428571427,7.0,3.0,0.23658906882591102,boom_bust,deep_threat,average_qb_context
Wan'Dale Robinson,TEN,25.0,111.5,00-0038117,0.29572564612326074,16.0,,0.2058823529411764,14.0,8.418439716312056,92.0,140.0,3.0,11.021739130434783,4.195652173913044,0.1875,1.6666666666666667,5.0,0.29572564612326074,alpha,none,below_average_qb_context
Jayden Reed,GB,26.0,82.5,00-0039146,0.16185855935668547,22.0,corrected,0.0579710144927536,4.0,8.136363636363637,19.0,97.0,3.0,10.894736842105264,4.473684210526316,0.6,9.333333333333334,2.0,0.2032608695652168,high_floor,none,elite_qb_context
Deebo Samuel,SF,30.0,139.4,00-0035719,0.24348958333333368,16.0,,0.2549019607843137,13.0,5.27,72.0,99.0,17.0,10.097222222222221,6.472222222222222,1.0625,4.411764705882353,2.0,0.24353049907578625,alpha,yac,elite_qb_context
Quentin Johnston,LAC,24.0,74.9,00-0038544,0.20192307692307646,13.0,corrected,0.189873417721519,15.0,11.773809523809524,51.0,84.0,2.0,14.411764705882353,4.333333333333333,0.15384615384615385,3.5,4.0,0.224264705882353,high_floor,none,below_average_qb_context
Michael Wilson,ARI,26.0,95.0,00-0038559,0.204213938411669,17.0,,0.1047619047619047,11.0,12.73134328358209,78.0,126.0,0.0,12.897435897435898,3.5,0.0,,4.0,0.204213938411669,boom_bust,none,below_average_qb_context
