Player,Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,RushAtt,RushYds,RushY/A,RushTD,Awards
Ty Simpson,2022,Alabama,SEC,FR,QB,4,4,5,80.0,35,0,0.0,0.0,0.0,7.0,7.0,8.8,8.8,138.8,,,,,
Ty Simpson,2023,Alabama,SEC,FR,QB,6,11,20,55.0,179,0,0.0,0.0,0.0,9.0,8.95,16.3,29.8,130.2,,,,,
Ty Simpson,2024,Alabama,SEC,SO,QB,6,14,25,56.0,167,0,0.0,0.0,0.0,6.7,6.68,11.9,27.8,112.1,,,,,
Ty Simpson,2025,Alabama,SEC,JR,QB,15,305,473,64.5,3567,28,5.9,5.0,1.1,7.5,8.25,11.7,237.8,145.2,90.0,93.0,1.0,2.0,
Fernando Mendoza,2023,California,Pac-12,FR,QB,9,153,243,63.0,1708,14,5.8,10.0,4.1,7.0,6.33,11.2,189.8,132.8,48.0,92.0,1.9,2.0,
Fernando Mendoza,2024,California,ACC,SO,QB,11,265,386,68.7,3004,16,4.1,6.0,1.6,7.8,7.91,11.3,273.1,144.6,87.0,105.0,1.2,2.0,
Fernando Mendoza,2025,Indiana,Big Ten,JR,QB,16,273,379,72.0,3535,41,10.8,6.0,1.6,9.3,10.78,12.9,220.9,182.9,90.0,276.0,3.1,7.0,"H-1,Maxwell,AA,Camp"
Cade Klubnik,2022,Clemson,ACC,FR,QB,10,61,100,61.0,697,2,2.0,3.0,3.0,7.0,6.02,11.4,69.7,120.1,42.0,139.0,3.3,2.0,
Cade Klubnik,2023,Clemson,ACC,SO,QB,13,290,454,63.9,2844,19,4.2,9.0,2.0,6.3,6.21,9.8,218.8,126.3,125.0,182.0,1.5,4.0,
Cade Klubnik,2024,Clemson,ACC,JR,QB,14,308,486,63.4,3639,36,7.4,6.0,1.2,7.5,8.41,11.8,259.9,148.2,119.0,463.0,3.9,7.0,
Cade Klubnik,2025,Clemson,ACC,SR,QB,12,257,392,65.6,2943,16,4.1,6.0,1.5,7.5,7.64,11.5,245.3,139.0,83.0,94.0,1.1,4.0,
Taylen Green,2021,Boise State,MWC,FR,QB,2,0,0,0.0,0,0,0.0,,,,,,,,5.0,2.0,0.4,0.0,
Taylen Green,2022,Boise State,MWC,FR,QB,13,166,271,61.3,2042,14,5.2,6.0,2.2,7.5,7.57,12.3,157.1,137.2,81.0,588.0,7.3,10.0,
Taylen Green,2023,Boise State,MWC,SO,QB,13,121,212,57.1,1752,11,5.2,9.0,4.2,8.3,7.39,14.5,134.8,135.1,78.0,436.0,5.6,9.0,
Taylen Green,2024,Arkansas,SEC,JR,QB,13,230,381,60.4,3154,15,3.9,9.0,2.4,8.3,8.0,13.7,242.6,138.2,156.0,602.0,3.9,8.0,
Taylen Green,2025,Arkansas,SEC,SR,QB,12,198,326,60.7,2714,19,5.8,11.0,3.4,8.3,7.97,13.7,226.2,143.2,139.0,777.0,5.6,8.0,
Carson Beck,2020,Georgia,SEC,FR,QB,1,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,
Carson Beck,2021,Georgia,SEC,FR,QB,4,10,23,43.5,176,2,8.7,2.0,8.7,7.7,5.48,17.6,44.0,119.1,5.0,15.0,3.0,0.0,
Carson Beck,2022,Georgia,SEC,SO,QB,7,26,35,74.3,310,4,11.4,0.0,0.0,8.9,11.14,11.9,44.3,186.4,7.0,43.0,6.1,0.0,
Carson Beck,2023,Georgia,SEC,JR,QB,14,302,417,72.4,3941,24,5.8,6.0,1.4,9.5,9.95,13.0,281.5,167.9,60.0,116.0,1.9,4.0,
Carson Beck,2024,Georgia,SEC,SR,QB,13,290,448,64.7,3485,28,6.3,12.0,2.7,7.8,7.82,12.0,268.1,145.3,55.0,71.0,1.3,1.0,
Carson Beck,2025,Miami (FL),ACC,SR,QB,16,338,467,72.4,3813,30,6.4,12.0,2.6,8.2,8.29,11.3,238.3,157.0,62.0,43.0,0.7,2.0,
Drew Allar,2022,Penn State,Big Ten,FR,QB,10,35,60,58.3,344,4,6.7,0.0,0.0,5.7,7.07,9.8,34.4,128.5,18.0,52.0,2.9,1.0,
Drew Allar,2023,Penn State,Big Ten,SO,QB,13,233,389,59.9,2631,25,6.4,2.0,0.5,6.8,7.82,11.3,202.4,136.9,74.0,206.0,2.8,4.0,
Drew Allar,2024,Penn State,Big Ten,JR,QB,16,262,394,66.5,3327,24,6.1,8.0,2.0,8.4,8.75,12.7,207.9,153.5,96.0,302.0,3.1,6.0,
Drew Allar,2025,Penn State,Big Ten,SR,QB,6,103,159,64.8,1100,8,5.0,3.0,1.9,6.9,7.08,10.7,183.3,135.7,36.0,172.0,4.8,1.0,
