team,games,total_yds,total_ypg,pass_yds,pass_ypg,rush_yds,rush_ypg,points,points_per_game
North Texas,14,7174,512.4,4452,318.0,2722,194.4,631,45.1
Mississippi,15,7345,489.7,4700,313.3,2645,176.3,554,36.9
South Fla.,13,6353,488.7,3596,276.6,2757,212.1,526,40.5
Utah,13,6278,482.9,2816,216.6,3462,266.3,537,41.3
Texas State,13,6147,472.8,3260,250.8,2887,222.1,474,36.5
Florida St.,12,5665,472.1,3041,253.4,2624,218.7,396,33.0
Tennessee,13,6062,466.3,3807,292.8,2255,173.5,517,39.8
USC,13,6051,465.5,3848,296.0,2203,169.5,465,35.8
Vanderbilt,13,6017,462.8,3735,287.3,2282,175.5,500,38.5
Texas Tech,14,6459,461.4,3899,278.5,2560,182.9,552,39.4
Georgia Tech,13,5980,460.0,3413,262.5,2567,197.5,418,32.2
Notre Dame,12,5502,458.5,3061,255.1,2441,203.4,504,42.0
Arkansas,12,5458,454.8,3155,262.9,2303,191.9,395,32.9
Old Dominion,13,5911,454.7,2813,216.4,3098,238.3,416,32.0
James Madison,14,6337,452.6,2956,211.1,3381,241.5,519,37.1
Oregon,15,6783,452.2,3804,253.6,2979,198.6,554,36.9
Indiana,16,7232,452.0,3826,239.1,3406,212.9,666,41.6
Baylor,12,5413,451.1,3715,309.6,1698,141.5,373,31.1
East Carolina,13,5837,449.0,3545,272.7,2292,176.3,425,32.7
UNLV,14,6249,446.4,3512,250.9,2737,195.5,477,34.1
Connecticut,13,5788,445.2,3697,284.4,2091,160.8,459,35.3
Florida Atlantic,12,5336,444.7,4082,340.2,1254,104.5,354,29.5
Texas A&M,13,5779,444.5,3378,259.8,2401,184.7,439,33.8
Boise St.,14,5936,424.0,3429,244.9,2507,179.1,418,29.9
Duke,14,5929,423.5,3995,285.4,1934,138.1,484,34.6
Ohio St.,14,5916,422.6,3755,268.2,2161,154.4,468,33.4
TCU,13,5479,421.5,3771,290.1,1708,131.4,399,30.7
UTSA,13,5444,418.8,3219,247.6,2225,171.2,462,35.5
Virginia,14,5850,417.9,3348,239.1,2502,178.7,431,30.8
Arizona St.,13,5425,417.3,2908,223.7,2517,193.6,335,25.8
SMU,13,5420,416.9,3680,283.1,1740,133.8,419,32.2
Missouri,13,5412,416.3,2444,188.0,2968,228.3,393,30.2
Navy,13,5403,415.6,1690,130.0,3713,285.6,409,31.5
Toledo,13,5398,415.2,3095,238.1,2303,177.2,401,30.8
Delaware,13,5351,411.6,3802,292.5,1549,119.2,377,29.0
Memphis,13,5351,411.6,2969,228.4,2382,183.2,422,32.5
Ohio,13,5350,411.5,2394,184.2,2956,227.4,361,27.8
Tulane,14,5760,411.4,3432,245.1,2328,166.3,388,27.7
Washington,13,5329,409.9,3178,244.5,2151,165.5,443,34.1
Utah St.,13,5323,409.5,3211,247.0,2112,162.5,402,30.9
Jacksonville St.,14,5722,408.7,2268,162.0,3454,246.7,394,28.1
Arizona,13,5299,407.6,3318,255.2,1981,152.4,410,31.5
Cincinnati,13,5295,407.3,3006,231.2,2289,176.1,394,30.3
Rutgers,12,4885,407.1,3193,266.1,1692,141.0,344,28.7
Western Ky.,13,5287,406.7,3538,272.2,1749,134.5,384,29.5
Air Force,12,4879,406.6,1742,145.2,3137,261.4,360,30.0
Marshall,12,4865,405.4,2495,207.9,2370,197.5,369,30.8
Miami (FL),16,6480,405.0,4051,253.2,2429,151.8,495,30.9
