,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN Half,Sleeper Half,Y Half,Average,AVGvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,1,1,1,1,1.0,0.00,5.5,1,1
,Bijan Robinson,ATL,11,RB,2,2,2,2,2,2.0,0.00,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,3,3,3,3,3.0,0.00,5.5,,3
,Puka Nacua,LAR,11,WR,4,4,4,4,4,4.0,0.00,5.5,,4
,Christian McCaffrey,SF,8,RB,6,8,6,6,5,5.7,-0.29,5.6,,5
,Jaxon Smith-Njigba,SEA,11,WR,5,5,5,7,7,6.3,0.27,5.5,,6
,Jonathan Taylor,IND,13,RB,7,7,7,5,8,6.7,-0.05,5.5,,7
,Amon-Ra St. Brown,DET,6,WR,8,6,8,8,6,7.3,0.22,5.5,,8
,CeeDee Lamb,DAL,14,WR,10,9,9,10,9,9.3,0.04,5.5,,9
,James Cook,BUF,7,RB,9,11,12,9,10,10.3,-0.06,5.5,,10
,Justin Jefferson,MIN,6,WR,11,10,11,13,12,12.0,0.20,5.4,,11
,Ashton Jeanty,LV,13,RB,12,12,13,11,14,12.7,0.06,5.5,,12
,De'Von Achane,MIA,6,RB,14,18,10,14,16,13.3,-0.26,5.7,2,13
,Saquon Barkley,PHI,10,RB,13,16,18,12,11,13.7,-0.15,5.5,,14
,Kenneth Walker,KC,5,RB,19,21,21,17,13,17.0,-0.19,5.7,,15
,Drake London,ATL,11,WR,18,13,14,20,17,17.0,0.31,5.4,,16
,Chase Brown,CIN,6,RB,16,14,20,16,15,17.0,0.21,5.4,,17
,Omarion Hampton,LAC,7,RB,17,20,22,15,18,18.3,-0.08,5.5,,18
,Derrick Henry,BAL,13,RB,22,22,19,18,19,18.7,-0.15,5.6,,19
,Brock Bowers,LV,13,TE,20,17,24,21,20,21.7,0.27,5.4,,20
,Jeremiyah Love,ARI,14,RB,27,40,15,25,26,22.0,-0.45,6.4,,21
,Nico Collins,HOU,8,WR,24,19,25,23,21,23.0,0.21,5.4,,22
,A.J. Brown,NE,11,WR,21,15,28,19,23,23.3,0.56,5.2,,23
,Trey McBride,ARI,14,TE,23,24,17,24,32,24.3,0.01,5.5,,24
,Rashee Rice,KC,5,WR,29,26,16,28,35,26.3,0.01,5.6,3,25
,Breece Hall,NYJ,13,RB,34,35,23,30,27,26.7,-0.24,6.1,,26
,George Pickens,DAL,14,WR,25,23,32,26,22,26.7,0.16,5.3,,27
,Malik Nabers,NYG,8,WR,30,28,29,31,24,28.0,0.00,5.6,,28
,Josh Allen,BUF,7,QB,15,27,36,22,28,28.7,0.06,5.2,,29
,Chris Olave,NO,8,WR,28,25,26,32,34,30.7,0.23,5.2,,30
,DeVonta Smith,PHI,10,WR,33,29,35,34,25,31.3,0.08,5.5,,31
,Josh Jacobs,GB,11,RB,32,36,30,29,37,32.0,-0.11,5.6,,32
,Kyren Williams,LAR,11,RB,31,31,38,27,31,32.0,0.03,5.4,,33
,Javonte Williams,DAL,14,RB,37,34,31,33,36,33.3,-0.02,5.7,,34
,Zay Flowers,BAL,13,WR,40,30,34,42,30,35.3,0.18,5.5,,35
,Tetairoa McMillan,CAR,5,WR,38,32,33,35,40,36.0,0.13,5.5,,36
,Garrett Wilson,NYJ,13,WR,44,37,27,43,42,37.3,0.01,5.7,4,37
,Tee Higgins,CIN,6,WR,36,33,46,38,29,37.7,0.14,5.3,,38
,Emeka Egbuka,TB,10,WR,42,41,42,39,38,39.7,-0.03,5.6,,39
,Travis Etienne,NO,8,RB,47,45,37,41,44,40.7,-0.10,5.8,,40
,Cam Skattebo,NYG,8,RB,45,51,40,37,47,41.3,-0.19,5.8,,41
,Ladd McConkey,LAC,7,WR,43,39,44,40,41,41.7,0.07,5.5,,42
,Jaylen Waddle,DEN,10,WR,46,42,47,47,33,42.3,0.01,5.6,,43
,Colston Loveland,CHI,10,TE,39,43,49,44,39,44.0,0.02,5.4,,44
,Quinshon Judkins,CLE,11,RB,52,54,39,46,52,45.7,-0.15,6.0,,45
,Lamar Jackson,BAL,13,QB,26,38,56,35,49,46.7,0.23,5.0,,46
,Terry McLaurin,WAS,7,WR,54,46,45,54,45,48.0,0.04,5.6,,47
,Bucky Irving,TB,10,RB,50,55,41,45,60,48.7,-0.12,5.6,,48
,Tyler Warren,IND,13,TE,49,53,50,50,48,49.3,-0.07,5.6,5,49
,Luther Burden,CHI,10,WR,56,48,53,55,46,51.3,0.07,5.5,,50
,D'Andre Swift,CHI,10,RB,53,50,60,52,43,51.7,0.03,5.5,,51
,Davante Adams,LAR,11,WR,55,47,43,58,56,52.3,0.11,5.4,,52
,DJ Moore,BUF,7,WR,61,58,52,56,51,53.0,-0.09,6.0,,53
,David Montgomery,HOU,8,RB,57,56,61,49,50,53.3,-0.05,5.6,,54
,Rome Odunze,CHI,10,WR,65,60,48,62,53,54.3,-0.09,6.1,,55
,Jameson Williams,DET,6,WR,60,52,51,57,55,54.3,0.04,5.6,,56
,Drake Maye,NE,11,QB,35,44,57,51,61,56.3,0.28,4.9,,57
,Bhayshul Tuten,JAC,7,RB,63,63,59,59,57,58.3,-0.07,5.7,,58
,TreVeyon Henderson,NE,11,RB,58,64,63,48,64,58.3,-0.09,5.6,,59
,Jayden Daniels,WAS,7,QB,48,61,55,65,62,60.7,-0.01,5.1,,60
,Jalen Hurts,PHI,10,QB,51,62,58,63,65,62.0,0.00,5.2,6,61
,Jadarian Price,SEA,11,RB,69,65,62,61,66,63.0,-0.03,5.7,,62
,Joe Burrow,CIN,6,QB,41,49,74,53,63,63.3,0.29,4.1,,63
,Carnell Tate,TEN,9,WR,71,70,54,66,72,64.0,-0.09,6.0,,64
,Mike Evans,SF,8,WR,64,59,76,60,58,64.7,0.10,5.3,,65
,Christian Watson,GB,11,WR,66,57,77,68,54,66.3,0.16,5.1,,66
,Parker Washington,JAC,7,WR,78,67,69,75,59,67.7,0.01,5.7,,67
,Marvin Harrison,ARI,14,WR,77,71,67,73,67,69.0,-0.03,5.8,,68
,Sam LaPorta,DET,6,TE,68,78,73,64,71,69.3,-0.11,5.8,,69
,Rhamondre Stevenson,NE,11,RB,80,73,64,77,68,69.7,-0.05,5.9,,70
,Brian Thomas,JAC,7,WR,79,74,80,70,70,73.3,-0.01,5.6,,71
,Harold Fannin,CLE,11,TE,72,77,72,72,79,74.3,-0.03,5.5,,72
,DK Metcalf,PIT,9,WR,81,79,68,78,80,75.3,-0.05,5.7,7,73
,Kyle Pitts,ATL,11,TE,75,82,71,71,84,75.3,-0.08,5.7,,74
,Caleb Williams,CHI,10,QB,59,66,87,76,73,78.7,0.19,4.9,,75
,Tucker Kraft,GB,11,TE,67,68,102,67,69,79.3,0.17,4.6,,76
,Jaylen Warren,PIT,9,RB,74,72,96,69,74,79.7,0.11,5.1,,77
,Justin Herbert,LAC,7,QB,62,69,94,80,75,83.0,0.20,4.8,,78
,Courtland Sutton,DEN,10,WR,86,84,65,84,103,84.0,0.00,5.6,,79
,Alec Pierce,IND,13,WR,95,91,70,92,91,84.3,-0.07,6.2,,80
,Michael Wilson,ARI,14,WR,91,88,79,88,87,84.7,-0.04,5.7,,81
,Tony Pollard,TEN,9,RB,82,75,98,81,76,85.0,0.13,5.3,,82
,Dak Prescott,DAL,14,QB,70,80,83,89,83,85.0,0.06,5.0,,83
,Trevor Lawrence,JAC,7,QB,73,76,82,97,81,86.7,0.14,4.9,,84
,Michael Pittman,PIT,9,WR,105,86,66,100,98,88.0,0.02,6.1,8,85
,Jonathon Brooks,CAR,5,RB,102,87,100,91,77,89.3,0.03,5.9,,86
,Rico Dowdle,PIT,9,RB,85,81,97,83,90,90.0,0.11,5.2,,87
,Chuba Hubbard,CAR,5,RB,84,90,101,74,96,90.3,0.00,5.3,,88
,Jaxson Dart,NYG,8,QB,76,95,75,95,101,90.3,-0.05,5.3,,89
,J.K. Dobbins,DEN,10,RB,93,85,106,87,89,94.0,0.11,5.2,,90
,George Kittle,SF,8,TE,92,97,103,90,92,95.0,-0.02,5.5,,91
,Jordan Addison,MIN,6,WR,106,103,89,101,97,95.7,-0.07,6.2,,92
,Brock Purdy,SF,8,QB,87,94,85,117,94,98.7,0.05,5.2,,93
,Kyle Monangai,CHI,10,RB,98,102,107,86,105,99.3,-0.03,5.6,,94
,Jayden Reed,GB,11,WR,110,109,92,103,104,99.7,-0.09,6.2,,95
,Jacory Croskey-Merritt,WAS,7,RB,108,101,108,99,93,100.0,-0.01,5.8,,96
,Bo Nix,DEN,10,QB,89,100,84,118,99,100.3,0.00,5.1,9,97
,Quentin Johnston,LAC,7,WR,104,89,113,102,88,101.0,0.13,5.2,,98
,Josh Downs,IND,13,WR,107,96,114,110,82,102.0,0.06,5.5,,99
,Matthew Stafford,LAR,11,QB,90,108,86,109,111,102.0,-0.06,5.3,,100
,RJ Harvey,DEN,10,RB,88,93,123,82,102,102.3,0.10,4.6,,101
,Matthew Golden,GB,11,WR,127,130,78,123,107,102.7,-0.21,7.4,,102
,Chris Godwin,TB,10,WR,96,83,128,96,85,103.0,0.24,4.5,,103
,Jordyn Tyson,NO,8,WR,94,125,152,79,78,103.0,-0.18,5.9,,104
,Blake Corum,LAR,11,RB,100,92,122,93,95,103.3,0.12,5.0,,105
,Jakobi Meyers,JAC,7,WR,117,112,81,111,119,103.7,-0.07,6.2,,106
,Patrick Mahomes,KC,5,QB,83,98,95,105,113,104.3,0.06,4.5,,107
,Makai Lemon,PHI,10,WR,101,111,126,85,106,105.7,-0.05,5.5,,108
,Dalton Kincaid,BUF,7,TE,99,114,118,94,108,106.7,-0.06,5.5,10,109
,Travis Kelce,KC,5,TE,97,104,105,98,117,106.7,0.03,5.3,,110
,Kenny Gainwell,TB,10,RB,111,106,99,108,115,107.3,0.01,5.5,,111
,Wan'Dale Robinson,TEN,9,WR,118,99,88,112,125,108.3,0.09,5.5,,112
,Jordan Mason,MIN,6,RB,113,107,121,104,100,108.3,0.01,5.6,,113
,Stefon Diggs,WAS,7,WR,116,105,125,116,86,109.0,0.04,5.6,,114
,Rachaad White,WAS,7,RB,123,113,109,115,110,111.3,-0.01,5.8,,115
,Xavier Worthy,KC,5,WR,125,124,93,121,127,113.7,-0.08,6.2,,116
,Dallas Goedert,PHI,10,TE,115,117,104,119,120,114.3,-0.02,5.6,,117
,Aaron Jones,MIN,6,RB,122,115,116,107,129,117.3,0.02,5.6,,118
,Isaiah Likely,NYG,8,TE,112,118,117,114,122,117.7,0.00,5.4,,119
,Jake Ferguson,DAL,14,TE,109,119,110,106,139,118.3,-0.01,5.2,,120
,Travis Hunter,JAC,7,WR,169,174,91,,146,118.5,-0.32,9.5,11,121
,Mark Andrews,BAL,13,TE,119,121,111,120,126,119.0,-0.02,5.5,,122
,Khalil Shakir,BUF,7,WR,130,128,90,130,142,120.7,-0.06,5.8,,123
