,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN Std,Sleeper Std,Y Std,Average,AVGvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,1,1,2,1,1.3,0.33,5.5,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,1,2,1.7,-0.44,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,2,3,6,3,4.0,1.00,5.4,,3
,Christian McCaffrey,SF,8,RB,7,10,6,4,5,5.0,-0.50,5.8,,4
,Jonathan Taylor,IND,13,RB,5,7,7,3,6,5.3,-0.24,5.5,,5
,Puka Nacua,LAR,11,WR,4,4,4,9,4,5.7,0.42,5.4,,6
,Jaxon Smith-Njigba,SEA,11,WR,6,5,5,10,8,7.7,0.53,5.4,,7
,James Cook,BUF,7,RB,8,9,12,5,9,8.7,-0.04,5.5,,8
,Amon-Ra St. Brown,DET,6,WR,9,6,8,18,7,11.0,0.83,5.4,,9
,Derrick Henry,BAL,13,RB,10,13,11,7,16,11.3,-0.13,5.5,,10
,CeeDee Lamb,DAL,14,WR,11,8,9,15,11,11.7,0.46,5.4,,11
,De'Von Achane,MIA,6,RB,14,22,13,8,15,12.0,-0.45,6.0,,12
,Saquon Barkley,PHI,10,RB,13,16,15,14,10,13.0,-0.19,5.6,2,13
,Justin Jefferson,MIN,6,WR,12,11,10,20,13,14.3,0.30,5.4,,14
,Omarion Hampton,LAC,7,RB,16,23,19,12,17,16.0,-0.30,5.7,,15
,Ashton Jeanty,LV,13,RB,17,28,16,11,23,16.7,-0.40,5.9,,16
,Drake London,ATL,11,WR,15,15,14,21,18,17.7,0.18,5.3,,17
,Kenneth Walker,KC,5,RB,20,20,18,24,12,18.0,-0.10,5.6,,18
,Chase Brown,CIN,6,RB,18,19,23,19,14,18.7,-0.02,5.5,,19
,Jeremiyah Love,ARI,14,RB,32,44,17,17,34,22.7,-0.48,6.7,,20
,Brock Bowers,LV,13,TE,22,17,21,29,19,23.0,0.35,5.3,,21
,Nico Collins,HOU,8,WR,21,14,25,26,20,23.7,0.69,5.3,,22
,Trey McBride,ARI,14,TE,19,21,20,23,30,24.3,0.16,5.3,,23
,George Pickens,DAL,14,WR,25,18,28,28,21,25.7,0.43,5.2,,24
,Kyren Williams,LAR,11,RB,28,30,38,13,27,26.0,-0.13,5.7,3,25
,Breece Hall,NYJ,13,RB,31,40,22,27,31,26.7,-0.33,5.9,,26
,Josh Allen,BUF,7,QB,24,25,36,16,28,26.7,0.07,5.4,,27
,Malik Nabers,NYG,8,WR,29,26,27,30,25,27.3,0.05,5.5,,28
,A.J. Brown,NE,11,WR,23,12,26,34,22,27.3,1.28,4.8,,29
,Chris Olave,NO,8,WR,27,24,29,31,24,28.0,0.17,5.4,,30
,Josh Jacobs,GB,11,RB,30,36,30,22,43,31.7,-0.12,5.6,,31
,Rashee Rice,KC,5,WR,26,29,24,35,36,31.7,0.09,5.2,,32
,Javonte Williams,DAL,14,RB,33,34,32,32,35,33.0,-0.03,5.5,,33
,Tetairoa McMillan,CAR,5,WR,34,38,34,38,37,36.3,-0.04,5.5,,34
,Tee Higgins,CIN,6,WR,36,32,46,37,29,37.3,0.17,5.4,,35
,Travis Etienne,NO,8,RB,37,48,37,36,41,38.0,-0.21,5.7,,36
,Zay Flowers,BAL,13,WR,40,31,35,52,32,39.7,0.28,5.3,4,37
,Garrett Wilson,NYJ,13,WR,38,46,42,39,39,40.0,-0.13,5.7,,38
,DeVonta Smith,PHI,10,WR,43,33,43,55,26,41.3,0.25,5.4,,39
,Jaylen Waddle,DEN,10,WR,46,41,51,43,33,42.3,0.03,5.6,,40
,Cam Skattebo,NYG,8,RB,45,55,40,42,49,43.7,-0.21,6.0,,41
,Lamar Jackson,BAL,13,QB,35,27,56,25,50,43.7,0.62,5.0,,42
,Bucky Irving,TB,10,RB,42,59,41,33,58,44.0,-0.25,5.9,,43
,Emeka Egbuka,TB,10,WR,41,39,33,57,42,44.0,0.13,5.2,,44
,Davante Adams,LAR,11,WR,39,45,31,46,55,44.0,-0.02,5.4,,45
,Colston Loveland,CHI,10,TE,44,37,49,47,38,44.7,0.21,5.3,,46
,Ladd McConkey,LAC,7,WR,47,42,47,48,40,45.0,0.07,5.5,,47
,Quinshon Judkins,CLE,11,RB,48,54,39,45,53,45.7,-0.15,5.8,,48
,Luther Burden,CHI,10,WR,51,57,53,41,45,46.3,-0.19,6.1,5,49
