Player,draft_class,draft_team,draft_round,draft_pick,Team,Season,G,Cmp,Att,Yds,TD,Int,RushAtt,RushYds,RushTD
Trevor Lawrence,2021,JAX,1,1,Clemson,2020,10,231,334,3153,24,5.0,68.0,203.0,8.0
Justin Fields,2021,CHI,1,11,Ohio State,2020,8,158,225,2100,22,6.0,81.0,383.0,5.0
Mac Jones,2021,NE,1,15,Alabama,2020,13,311,402,4500,41,4.0,,,
Zach Wilson,2021,NYJ,1,2,BYU,2020,12,247,336,3692,33,3.0,,,
Trey Lance,2021,SF,1,3,North Dakota St.,2019,16,192,287,2786,28,0.0,169.0,1100.0,14.0
Kyle Trask,2021,TB,2,64,Florida,2020,12,301,437,4283,43,8.0,,,
Davis Mills,2021,HOU,3,67,Stanford,2020,5,129,195,1508,7,3.0,,,
Sam Ehlinger,2021,IND,6,218,Texas,2020,10,194,322,2566,26,5.0,,,
Kenny Pickett,2022,PIT,1,20,Pittsburgh,2021,13,334,497,4319,42,7.0,,,
Desmond Ridder,2022,ATL,3,74,Cincinnati,2021,14,251,387,3334,30,8.0,,,
Malik Willis,2022,TEN,3,86,Liberty,2021,13,207,339,2862,27,12.0,197.0,878.0,13.0
Bailey Zappe,2022,NE,4,137,Western Kentucky,2021,14,475,687,5967,62,11.0,,,
Sam Howell,2022,WAS,5,144,North Carolina,2021,12,217,347,3056,24,9.0,,,
Brock Purdy,2022,SF,7,262,Iowa State,2021,13,292,407,3188,19,8.0,85.0,238.0,1.0
Bryce Young,2023,CAR,1,1,Alabama,2022,12,245,380,3328,32,5.0,,,
C.J. Stroud,2023,HOU,1,2,Ohio State,2022,13,258,389,3688,41,6.0,,,
Anthony Richardson,2023,IND,1,4,Florida,2022,12,176,327,2549,17,9.0,103.0,654.0,9.0
Will Levis,2023,TEN,2,33,Kentucky,2022,11,185,283,2406,19,10.0,,,
Hendon Hooker,2023,DET,3,68,Tennessee,2022,11,229,329,3135,27,2.0,,,
Caleb Williams,2024,CHI,1,1,USC,2023,12,266,388,3633,30,5.0,97.0,142.0,11.0
J.J. McCarthy,2024,MIN,1,10,Michigan,2023,15,240,332,2991,22,4.0,,,
Bo Nix,2024,DEN,1,12,Oregon,2023,14,364,470,4508,45,3.0,54.0,234.0,6.0
Jayden Daniels,2024,WAS,1,2,LSU,2023,12,236,327,3812,40,4.0,135.0,1134.0,10.0
Drake Maye,2024,NE,1,3,North Carolina,2023,12,269,425,3608,24,9.0,112.0,449.0,9.0
Michael Penix Jr.,2024,ATL,1,8,Washington,2023,15,363,555,4903,36,11.0,,,
Cam Ward,2025,TEN,1,1,Miami (FL),2024,13,305,454,4313,39,7.0,60.0,204.0,4.0
Jaxson Dart,2025,NYG,1,25,Ole Miss,2024,13,276,398,4279,29,6.0,124.0,495.0,3.0
Tyler Shough,2025,NO,2,40,Louisville,2024,12,244,389,3195,23,6.0,42.0,19.0,1.0
Jalen Milroe,2025,SEA,3,92,Alabama,2024,13,205,319,2844,16,11.0,168.0,726.0,20.0
Dillon Gabriel,2025,CLE,3,94,Oregon,2024,14,326,447,3857,30,6.0,75.0,149.0,7.0
Shedeur Sanders,2025,CLE,5,144,Colorado,2024,13,353,477,4134,37,10.0,,,
Quinn Ewers,2025,MIA,7,231,Texas,2024,14,293,445,3472,31,12.0,,,
