Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted
Jaylen Wright,RB,Tennessee,5-11,210,4.38,38.0,,134.0,,,MIA/4/120/2024
Kimani Vidal,RB,Troy,5-8,213,4.46,37.5,18.0,120.0,7.01,4.15,LAC/6/181/2024
MarShawn Lloyd,RB,USC,5-9,220,4.46,36.0,25.0,118.0,,,GB/3/88/2024
Tyrone Tracy Jr.,RB,Purdue,5-11,209,4.48,40.0,,124.0,6.81,4.06,NYG/5/166/2024
Bucky Irving,RB,Oregon,5-9,192,4.55,29.5,,115.0,,,TB/4/125/2024
Isaac Guerendo,RB,Louisville,6-0,221,4.33,41.5,,129.0,6.94,4.15,SF/4/129/2024
Blake Corum,RB,Michigan,5-8,205,4.53,35.5,27.0,,6.82,4.12,LAR/3/83/2024
Jonathon Brooks,RB,Texas,6-0,216,,,,,,,CAR/2/46/2024
Trey Benson,RB,Florida St.,6-0,216,4.39,33.5,,122.0,,,ARI/3/66/2024
Braelon Allen,RB,Wisconsin,6-1,235,,32.0,26.0,117.0,,,NYJ/4/134/2024
Xavier Worthy,WR,Texas,5-11,165,4.21,41.0,,131.0,,,KC/1/28/2024
Roman Wilson,WR,Michigan,5-11,185,4.39,,12.0,,,,PIT/3/84/2024
