Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Sean Tucker,2020,Syracuse,ACC,FR,RB,9,137,626,4.6,4,69.6,8,113,14.1,0,12.6,145,739,5.1,4,
Sean Tucker,2021,Syracuse,ACC,FR,RB,12,246,1496,6.1,12,124.7,20,255,12.8,2,21.3,266,1751,6.6,14,
Sean Tucker,2022,Syracuse,ACC,SO,RB,12,206,1060,5.1,11,88.3,36,248,6.9,2,20.7,242,1308,5.4,13,
Tyjae Spears,2019,Tulane,American,FR,RB,5,32,192,6.0,1,38.4,5,133,26.6,1,26.6,37,325,8.8,2,
Tyjae Spears,2020,Tulane,American,FR,RB,3,37,274,7.4,2,91.3,2,30,15.0,0,10.0,39,304,7.8,2,
Tyjae Spears,2021,Tulane,American,SO,RB,12,129,863,6.7,9,71.9,19,145,7.6,0,12.1,148,1008,6.8,9,
Tyjae Spears,2022,Tulane,American,JR,RB,14,229,1581,6.9,19,112.9,22,256,11.6,2,18.3,251,1837,7.3,21,
Bijan Robinson,2020,Texas,Big 12,FR,RB,9,86,703,8.2,4,78.1,15,196,13.1,2,21.8,101,899,8.9,6,
Bijan Robinson,2021,Texas,Big 12,SO,RB,10,195,1127,5.8,11,112.7,26,295,11.3,4,29.5,221,1422,6.4,15,
Bijan Robinson,2022,Texas,Big 12,JR,RB,12,258,1580,6.1,18,131.7,19,314,16.5,2,26.2,277,1894,6.8,20,"H-9,AA"
Keaton Mitchell,2020,East Carolina,American,FR,RB,9,88,443,5.0,2,49.2,11,75,6.8,1,8.3,99,518,5.2,3,
Keaton Mitchell,2021,East Carolina,American,FR,RB,12,174,1132,6.5,9,94.3,22,253,11.5,1,21.1,196,1385,7.1,10,
Keaton Mitchell,2022,East Carolina,American,SO,RB,12,201,1452,7.2,14,121.0,27,252,9.3,1,21.0,228,1704,7.5,15,
Kendre Miller,2020,Texas Christian,Big 12,FR,RB,9,54,388,7.2,2,43.1,1,-4,-4.0,0,-0.4,55,384,7.0,2,
Kendre Miller,2021,Texas Christian,Big 12,SO,RB,10,83,623,7.5,7,62.3,12,117,9.8,1,11.7,95,740,7.8,8,
Kendre Miller,2022,Texas Christian,Big 12,JR,RB,14,224,1399,6.2,17,99.9,16,116,7.3,0,8.3,240,1515,6.3,17,
Chris Rodriguez Jr.,2018,Kentucky,SEC,FR,RB,2,2,43,21.5,0,21.5,0,0,0.0,0,0.0,2,43,21.5,0,
Chris Rodriguez Jr.,2019,Kentucky,SEC,FR,RB,13,71,533,7.5,6,41.0,1,2,2.0,0,0.2,72,535,7.4,6,
Chris Rodriguez Jr.,2020,Kentucky,SEC,SO,RB,9,119,785,6.6,11,87.2,1,12,12.0,0,1.3,120,797,6.6,11,
Chris Rodriguez Jr.,2021,Kentucky,SEC,JR,RB,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,
Chris Rodriguez Jr.,2022,Kentucky,SEC,SR,RB,8,175,904,5.2,6,113.0,5,41,8.2,0,5.1,180,945,5.3,6,
Roschon Johnson,2019,Texas,Big 12,FR,QB,13,123,649,5.3,7,49.9,23,158,6.9,1,12.2,146,807,5.5,8,
Roschon Johnson,2020,Texas,Big 12,SO,RB,10,80,418,5.2,6,41.8,8,51,6.4,1,5.1,88,469,5.3,7,
Roschon Johnson,2021,Texas,Big 12,JR,RB,12,96,569,5.9,5,47.4,11,83,7.5,0,6.9,107,652,6.1,5,
Roschon Johnson,2022,Texas,Big 12,SR,RB,12,93,554,6.0,5,46.2,14,128,9.1,1,10.7,107,682,6.4,6,
Jahmyr Gibbs,2020,Georgia Tech,ACC,FR,RB,7,89,460,5.2,4,65.7,24,303,12.6,3,43.3,113,763,6.8,7,
Jahmyr Gibbs,2021,Georgia Tech,ACC,SO,RB,12,143,746,5.2,4,62.2,36,470,13.1,2,39.2,179,1216,6.8,6,
Jahmyr Gibbs,2022,Alabama,SEC,JR,RB,12,151,926,6.1,7,77.2,44,444,10.1,3,37.0,195,1370,7.0,10,
Zach Charbonnet,2019,Michigan,Big Ten,FR,RB,13,149,726,4.9,11,55.8,8,30,3.8,0,2.3,157,756,4.8,11,
Zach Charbonnet,2020,Michigan,Big Ten,SO,RB,5,19,124,6.5,1,24.8,6,41,6.8,0,8.2,25,165,6.6,1,
Zach Charbonnet,2021,UCLA,Pac-12,JR,RB,12,203,1137,5.6,13,94.8,24,197,8.2,0,16.4,227,1334,5.9,13,
Zach Charbonnet,2022,UCLA,Pac-12,SR,RB,10,195,1359,7.0,14,135.9,37,321,8.7,0,32.1,232,1680,7.2,14,
Chase Brown,2018,Western Michigan,MAC,FR,RB,13,71,352,5.0,0,27.1,10,75,7.5,0,5.8,81,427,5.3,0,
Chase Brown,2019,Illinois,Big Ten,SO,RB,4,3,18,6.0,0,4.5,0,0,0.0,0,0.0,3,18,6.0,0,
Chase Brown,2020,Illinois,Big Ten,SO,RB,8,104,540,5.2,3,67.5,7,64,9.1,0,8.0,111,604,5.4,3,
Chase Brown,2021,Illinois,Big Ten,SO,RB,10,170,1005,5.9,5,100.5,14,142,10.1,0,14.2,184,1147,6.2,5,
Chase Brown,2022,Illinois,Big Ten,JR,RB,12,328,1643,5.0,10,136.9,27,240,8.9,3,20.0,355,1883,5.3,13,
Tank Bigsby,2020,Auburn,SEC,FR,RB,10,138,834,6.0,5,83.4,11,84,7.6,0,8.4,149,918,6.2,5,
Tank Bigsby,2021,Auburn,SEC,SO,RB,13,224,1102,4.9,10,84.8,21,184,8.8,0,14.2,245,1286,5.2,10,
Tank Bigsby,2022,Auburn,SEC,JR,RB,12,179,970,5.4,10,80.8,30,180,6.0,0,15.0,209,1150,5.5,10,
Devon Achane,2020,Texas A&M,SEC,FR,RB,8,43,364,8.5,4,45.5,5,97,19.4,1,12.1,48,461,9.6,5,
Devon Achane,2021,Texas A&M,SEC,SO,RB,12,130,910,7.0,9,75.8,24,261,10.9,1,21.8,154,1171,7.6,10,
Devon Achane,2022,Texas A&M,SEC,JR,RB,10,196,1102,5.6,8,110.2,36,196,5.4,3,19.6,232,1298,5.6,11,
Michael Wilson,2018,Stanford,Pac-12,FR,WR,13,2,8,4.0,0,0.6,14,126,9.0,1,9.7,16,134,8.4,1,
Michael Wilson,2019,Stanford,Pac-12,SO,WR,12,0,0,0.0,0,0.0,56,672,12.0,5,56.0,56,672,12.0,5,
Michael Wilson,2020,Stanford,Pac-12,JR,WR,4,0,0,0.0,0,0.0,19,261,13.7,1,65.3,19,261,13.7,1,
Michael Wilson,2021,Stanford,Pac-12,SR,WR,4,0,0,0.0,0,0.0,19,185,9.7,0,46.3,19,185,9.7,0,
Michael Wilson,2022,Stanford,Pac-12,SR,WR,6,4,47,11.8,0,7.8,26,418,16.1,4,69.7,30,465,15.5,4,
Dontayvion Wicks,2019,Virginia,ACC,FR,WR,10,0,0,0.0,0,0.0,3,61,20.3,1,6.1,3,61,20.3,1,
Dontayvion Wicks,2021,Virginia,ACC,SO,WR,12,0,0,0.0,0,0.0,57,1203,21.1,9,100.3,57,1203,21.1,9,
Dontayvion Wicks,2022,Virginia,ACC,JR,WR,8,0,0,0.0,0,0.0,30,430,14.3,2,53.8,30,430,14.3,2,
Parker Washington,2020,Penn State,Big Ten,FR,WR,9,0,0,0.0,0,0.0,36,489,13.6,6,54.3,36,489,13.6,6,
Parker Washington,2021,Penn State,Big Ten,SO,WR,13,2,12,6.0,0,0.9,64,820,12.8,4,63.1,66,832,12.6,4,
Parker Washington,2022,Penn State,Big Ten,SO,WR,10,2,8,4.0,0,0.8,46,611,13.3,2,61.1,48,619,12.9,2,
Tre Tucker,2019,Cincinnati,American,FR,WR,14,8,93,11.6,0,6.6,7,92,13.1,0,6.6,15,185,12.3,0,
Tre Tucker,2020,Cincinnati,American,SO,WR,10,4,25,6.3,0,2.5,18,236,13.1,3,23.6,22,261,11.9,3,
Tre Tucker,2021,Cincinnati,American,JR,WR,14,2,12,6.0,0,0.9,34,426,12.5,2,30.4,36,438,12.2,2,
