Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted
Bhayshul Tuten,RB,Virginia Tech,5-9,206,4.32,40.5,,130.0,,4.41,JAX/4/104/2025
Cam Skattebo,RB,Arizona St.,5-10,219,,39.5,,123.0,,,NYG/4/105/2025
Devin Neal,RB,Kansas,5-11,213,4.58,37.5,,124.0,,,NO/6/184/2025
Kyle Monangai,RB,Rutgers,5-8,211,4.6,34.5,,117.0,,,CHI/7/233/2025
Woody Marks,RB,USC,5-10,207,4.54,35.0,18.0,119.0,,4.24,HOU/4/116/2025
Quinshon Judkins,RB,Ohio St.,6-0,221,4.48,38.5,,132.0,,,CLE/2/36/2025
Kaleb Johnson,RB,Iowa,6-1,224,4.57,,,,,,PIT/3/83/2025
Ashton Jeanty,RB,Boise St.,5-9,211,,,,,,,LV/1/6/2025
TreVeyon Henderson,RB,Ohio St.,5-10,202,4.43,38.5,,128.0,,,NE/2/38/2025
RJ Harvey,RB,Central Florida,5-8,205,4.4,38.0,16.0,127.0,,4.34,DEN/2/60/2025
Omarion Hampton,RB,North Carolina,6-0,221,4.46,38.0,18.0,130.0,,4.4,LAC/1/22/2025
Savion Williams,WR,TCU,6-4,222,4.48,,,,,,GB/3/87/2025
Kyle Williams,WR,Washington St.,5-11,190,4.4,36.5,,119.0,,,NE/3/69/2025
Isaac TeSlaa,WR,Arkansas,6-4,214,4.43,39.5,17.0,129.0,6.85,4.05,DET/3/70/2025
Jaylin Noel,WR,Iowa St.,5-10,194,4.39,41.5,23.0,134.0,6.82,4.17,HOU/3/79/2025
Tetairoa McMillan,WR,Arizona,6-4,219,,,,,,,CAR/1/8/2025
Luther Burden III,WR,Missouri,6-0,206,4.41,,,,,,CHI/2/39/2025
Jayden Higgins,WR,Iowa St.,6-4,214,4.47,39.0,,128.0,,,HOU/2/34/2025
Tre Harris,WR,Mississippi,6-2,205,4.54,38.5,,125.0,,,LAC/2/55/2025
Matthew Golden,WR,Texas,5-11,191,4.29,,,,,,GB/1/23/2025
Emeka Egbuka,WR,Ohio St.,6-1,202,,,,,,,TB/1/19/2025
Chimere Dike,WR,Florida,6-1,196,4.34,38.5,,128.0,6.82,4.27,TEN/4/103/2025
Pat Bryant,WR,Illinois,6-2,204,4.61,37.5,,124.0,,,DEN/3/74/2025
Jack Bech,WR,TCU,6-1,214,,34.5,19.0,125.0,6.84,4.21,LV/2/58/2025
Elic Ayomanor,WR,Stanford,6-2,206,4.44,38.5,,127.0,,,TEN/4/136/2025
