Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Bhayshul Tuten,2023,Virginia Tech,ACC,JR,RB,13,173,863,5.0,10,66.4,27,239,8.9,2,18.4,200,1102,5.5,12,
Bhayshul Tuten,2024,Virginia Tech,ACC,SR,RB,11,183,1159,6.3,15,105.4,23,81,3.5,2,7.4,206,1240,6.0,17,
Cam Skattebo,2023,Arizona State,Pac-12,JR,RB,12,164,783,4.8,9,65.3,24,286,11.9,1,23.8,188,1069,5.7,10,
Cam Skattebo,2024,Arizona State,Big 12,SR,RB,13,293,1711,5.8,21,131.6,45,605,13.4,3,46.5,338,2316,6.9,24,H-5
Devin Neal,2021,Kansas,Big 12,FR,RB,11,158,707,4.5,8,64.3,7,57,8.1,1,5.2,165,764,4.6,9,
Devin Neal,2022,Kansas,Big 12,SO,RB,13,180,1090,6.1,9,83.8,21,183,8.7,1,14.1,201,1273,6.3,10,
Devin Neal,2023,Kansas,Big 12,JR,RB,13,203,1280,6.3,16,98.5,25,217,8.7,1,16.7,228,1497,6.6,17,
Devin Neal,2024,Kansas,Big 12,SR,RB,12,219,1266,5.8,16,105.5,24,254,10.6,1,21.2,243,1520,6.3,17,
Kyle Monangai,2020,Rutgers,Big Ten,FR,RB,5,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,
Kyle Monangai,2021,Rutgers,Big Ten,FR,RB,11,62,236,3.8,4,21.5,10,68,6.8,0,6.2,72,304,4.2,4,
Kyle Monangai,2022,Rutgers,Big Ten,SO,RB,12,109,445,4.1,2,37.1,6,31,5.2,0,2.6,115,476,4.1,2,
Kyle Monangai,2023,Rutgers,Big Ten,JR,RB,13,242,1262,5.2,8,97.1,8,78,9.8,0,6.0,250,1340,5.4,8,
Kyle Monangai,2024,Rutgers,Big Ten,SR,RB,11,256,1279,5.0,13,116.3,14,75,5.4,1,6.8,270,1354,5.0,14,
Woody Marks,2020,Mississippi State,SEC,FR,RB,11,70,312,4.5,3,28.4,60,268,4.5,0,24.4,130,580,4.5,3,
Woody Marks,2021,Mississippi State,SEC,SO,RB,13,106,416,3.9,6,32.0,83,502,6.0,3,38.6,189,918,4.9,9,
Woody Marks,2022,Mississippi State,SEC,JR,RB,12,113,582,5.2,9,48.5,48,288,6.0,0,24.0,161,870,5.4,9,
Woody Marks,2023,Mississippi State,SEC,SR,RB,9,121,573,4.7,4,63.7,23,167,7.3,2,18.6,144,740,5.1,6,
Woody Marks,2024,USC,Big Ten,SR,RB,12,198,1133,5.7,9,94.4,47,321,6.8,0,26.8,245,1454,5.9,9,
Quinshon Judkins,2022,Ole Miss,SEC,FR,RB,13,274,1567,5.7,16,120.5,15,132,8.8,1,10.2,289,1699,5.9,17,
Quinshon Judkins,2023,Ole Miss,SEC,SO,RB,13,271,1158,4.3,15,89.1,22,149,6.8,2,11.5,293,1307,4.5,17,
Quinshon Judkins,2024,Ohio State,Big Ten,JR,RB,16,194,1060,5.5,14,66.3,22,161,7.3,2,10.1,216,1221,5.7,16,
Kaleb Johnson,2022,Iowa,Big Ten,FR,RB,13,151,779,5.2,6,59.9,4,27,6.8,0,2.1,155,806,5.2,6,
Kaleb Johnson,2023,Iowa,Big Ten,SO,RB,10,117,463,4.0,3,46.3,3,25,8.3,0,2.5,120,488,4.1,3,
Kaleb Johnson,2024,Iowa,Big Ten,JR,RB,12,240,1537,6.4,21,128.1,22,188,8.5,2,15.7,262,1725,6.6,23,AA
Ashton Jeanty,2022,Boise State,MWC,FR,RB,14,156,821,5.3,7,58.6,14,155,11.1,0,11.1,170,976,5.7,7,
Ashton Jeanty,2023,Boise State,MWC,SO,RB,12,220,1347,6.1,14,112.3,43,569,13.2,5,47.4,263,1916,7.3,19,
Ashton Jeanty,2024,Boise State,MWC,JR,RB,14,374,2601,7.0,29,185.8,23,138,6.0,1,9.9,397,2739,6.9,30,"H-2,Maxwell,AA"
TreVeyon Henderson,2021,Ohio State,Big Ten,FR,RB,13,183,1248,6.8,15,96.0,27,312,11.6,4,24.0,210,1560,7.4,19,
TreVeyon Henderson,2022,Ohio State,Big Ten,SO,RB,8,107,571,5.3,6,71.4,4,28,7.0,1,3.5,111,599,5.4,7,
TreVeyon Henderson,2023,Ohio State,Big Ten,JR,RB,10,156,926,5.9,11,92.6,19,229,12.1,0,22.9,175,1155,6.6,11,
TreVeyon Henderson,2024,Ohio State,Big Ten,SR,RB,16,144,1016,7.1,10,63.5,27,284,10.5,1,17.8,171,1300,7.6,11,
RJ Harvey,2020,Central Florida,American,FR,RB,3,3,3,1.0,0,1.0,0,0,0.0,0,0.0,3,3,1.0,0,
RJ Harvey,2022,Central Florida,American,JR,RB,13,118,796,6.7,5,61.2,22,215,9.8,0,16.5,140,1011,7.2,5,
RJ Harvey,2023,Central Florida,Big 12,SR,RB,13,226,1416,6.3,16,108.9,19,238,12.5,1,18.3,245,1654,6.8,17,
RJ Harvey,2024,Central Florida,Big 12,SR,RB,12,232,1577,6.8,22,131.4,20,267,13.4,3,22.3,252,1844,7.3,25,
Omarion Hampton,2022,North Carolina,ACC,FR,RB,13,88,401,4.6,6,30.8,6,40,6.7,1,3.1,94,441,4.7,7,
Omarion Hampton,2023,North Carolina,ACC,SO,RB,13,253,1504,5.9,15,115.7,29,222,7.7,1,17.1,282,1726,6.1,16,
Omarion Hampton,2024,North Carolina,ACC,JR,RB,12,281,1660,5.9,15,138.3,38,373,9.8,2,31.1,319,2033,6.4,17,
Savion Williams,2020,Texas Christian,Big 12,FR,WR,7,0,0,0.0,0,0.0,1,8,8.0,0,1.1,1,8,8.0,0,
Savion Williams,2021,Texas Christian,Big 12,SO,WR,7,0,0,0.0,0,0.0,6,71,11.8,0,10.1,6,71,11.8,0,
Savion Williams,2022,Texas Christian,Big 12,JR,WR,15,0,0,0.0,0,0.0,29,392,13.5,4,26.1,29,392,13.5,4,
Savion Williams,2023,Texas Christian,Big 12,JR,WR,11,11,62,5.6,0,5.6,41,573,14.0,4,52.1,52,635,12.2,4,
Savion Williams,2024,Texas Christian,Big 12,SR,WR,12,51,322,6.3,6,26.8,60,611,10.2,6,50.9,111,933,8.4,12,
Kyle Williams,2020,Nevada-Las Vegas,MWC,FR,WR,6,2,6,3.0,0,1.0,35,426,12.2,2,71.0,37,432,11.7,2,
Kyle Williams,2021,Nevada-Las Vegas,MWC,SO,WR,10,2,7,3.5,0,0.7,42,601,14.3,2,60.1,44,608,13.8,2,
Kyle Williams,2022,Nevada-Las Vegas,MWC,JR,WR,9,1,12,12.0,0,1.3,40,541,13.5,5,60.1,41,553,13.5,5,
Kyle Williams,2023,Washington State,Pac-12,JR,WR,12,3,-10,-3.3,0,-0.8,61,843,13.8,6,70.3,64,833,13.0,6,
Kyle Williams,2024,Washington State,Ind,SR,WR,13,9,57,6.3,0,4.4,70,1198,17.1,14,92.2,79,1255,15.9,14,
Isaac TeSlaa,2023,Arkansas,SEC,SR,WR,12,1,0,0.0,0,0.0,34,351,10.3,2,29.3,35,351,10.0,2,
Isaac TeSlaa,2024,Arkansas,SEC,SR,WR,13,0,0,0.0,0,0.0,28,545,19.5,3,41.9,28,545,19.5,3,
Jaylin Noel,2021,Iowa State,Big 12,FR,WR,13,0,0,0.0,0,0.0,39,269,6.9,0,20.7,39,269,6.9,0,
Jaylin Noel,2022,Iowa State,Big 12,SO,WR,12,3,47,15.7,0,3.9,60,572,9.5,3,47.7,63,619,9.8,3,
Jaylin Noel,2023,Iowa State,Big 12,JR,WR,12,1,-1,-1.0,0,-0.1,66,820,12.4,7,68.3,67,819,12.2,7,
Jaylin Noel,2024,Iowa State,Big 12,SR,WR,14,9,38,4.2,0,2.7,80,1194,14.9,8,85.3,89,1232,13.8,8,
Tetairoa McMillan,2022,Arizona,Pac-12,FR,WR,12,0,0,0.0,0,0.0,39,702,18.0,8,58.5,39,702,18.0,8,
Tetairoa McMillan,2023,Arizona,Pac-12,SO,WR,13,1,3,3.0,0,0.2,90,1402,15.6,10,107.8,91,1405,15.4,10,
Tetairoa McMillan,2024,Arizona,Big 12,JR,WR,12,0,0,0.0,0,0.0,84,1319,15.7,8,109.9,84,1319,15.7,8,AA
Luther Burden III,2022,Missouri,SEC,FR,WR,13,18,88,4.9,2,6.8,45,375,8.3,6,28.8,63,463,7.3,8,
Luther Burden III,2023,Missouri,SEC,SO,WR,13,7,31,4.4,0,2.4,86,1212,14.1,9,93.2,93,1243,13.4,9,
Luther Burden III,2024,Missouri,SEC,JR,WR,12,9,115,12.8,2,9.6,61,676,11.1,6,56.3,70,791,11.3,8,
Jayden Higgins,2023,Iowa State,Big 12,JR,WR,13,0,0,0.0,0,0.0,53,983,18.5,6,75.6,53,983,18.5,6,
Jayden Higgins,2024,Iowa State,Big 12,SR,WR,13,0,0,0.0,0,0.0,87,1183,13.6,9,91.0,87,1183,13.6,9,
Tre Harris,2020,Louisiana Tech,CUSA,FR,WR,7,0,0,0.0,0,0.0,1,20,20.0,0,2.9,1,20,20.0,0,
Tre Harris,2021,Louisiana Tech,CUSA,FR,WR,12,0,0,0.0,0,0.0,40,562,14.1,4,46.8,40,562,14.1,4,
Tre Harris,2022,Louisiana Tech,CUSA,SO,WR,12,5,22,4.4,0,1.8,65,935,14.4,10,77.9,70,957,13.7,10,
Tre Harris,2023,Mississippi,SEC,JR,WR,12,0,0,0.0,0,0.0,54,985,18.2,8,82.1,54,985,18.2,8,
Tre Harris,2024,Mississippi,SEC,SR,WR,8,0,0,0.0,0,0.0,60,1030,17.2,7,128.8,60,1030,17.2,7,
