player_name,position,draft_season,draft_pick,landing_team,age_at_draft,college,conference_strength_tier,height_inches,weight,forty_time,roster_competition_tier,college_dominator_final_year,college_dominator_career,breakout_age
Fernando Mendoza,QB,2026,1,LVR,22.0,Indiana,Power4,76.75,236.0,,3,,,
Jeremiyah Love,RB,2026,3,ARI,21.0,Notre Dame,Power4,72.0,212.0,4.36,5,,44.1,
Carnell Tate,WR,2026,4,TEN,21.0,Ohio St.,Power4,74.25,192.0,4.53,3,23.3,,
Jordyn Tyson,WR,2026,8,NOR,22.0,Arizona St.,Power4,74.12,203.0,,2,24.4,,
Ty Simpson,QB,2026,13,LAR,23.0,Alabama,Power4,73.12,211.0,,3,,,
Kenyon Sadiq,TE,2026,16,NYJ,21.0,Oregon,Power4,75.0,241.0,4.39,3,,,
Makai Lemon,WR,2026,20,PHI,22.0,USC,Power4,71.12,192.0,,3,30.0,,
KC Concepcion,WR,2026,24,CLE,21.0,Texas A&M,Power4,71.62,196.0,,2,27.2,,
Jadarian Price,RB,2026,32,SEA,22.0,Notre Dame,Power4,70.62,203.0,4.49,3,,25.1,
De'Zhaun Stribling,WR,2026,33,SFO,23.0,Mississippi,Power4,74.12,207.0,4.36,3,17.3,,
Denzel Boston,WR,2026,39,CLE,22.0,Washington,Power4,75.62,212.0,,2,27.7,,
Germie Bernard,WR,2026,47,PIT,22.0,Alabama,Power4,73.25,206.0,4.48,2,21.8,,
Eli Stowers,TE,2026,54,PHI,23.0,Vanderbilt,Power4,76.0,239.0,4.51,3,,,
Nate Boerkircher,TE,2026,56,JAX,25.0,Texas A&M,Power4,76.5,245.0,,3,,,
Marlin Klein,TE,2026,59,HOU,23.0,Michigan,Power4,78.0,248.0,4.61,3,,,
Max Klare,TE,2026,61,LAR,23.0,Ohio St.,Power4,76.0,246.0,,3,,,
Carson Beck,QB,2026,65,ARI,24.0,Miami (FL),Power4,76.75,233.0,,3,,,
Sam Roush,TE,2026,69,CHI,23.0,Stanford,Power4,78.0,267.0,4.7,3,,,
Antonio Williams,WR,2026,71,WAS,22.0,Clemson,Power4,71.5,187.0,4.41,3,,,
Oscar Delp,TE,2026,73,NOR,23.0,Georgia,Power4,77.0,245.0,,3,,,
Malachi Fields,WR,2026,74,NYG,23.0,Notre Dame,Power4,76.5,218.0,4.61,3,,,
Caleb Douglas,WR,2026,75,MIA,22.0,Texas Tech,Power4,75.5,206.0,4.39,3,,,
Drew Allar,QB,2026,76,PIT,22.0,Penn St.,Power4,77.25,228.0,,3,,,
Zachariah Branch,WR,2026,79,ATL,22.0,Georgia,Power4,68.62,177.0,4.35,2,26.3,,
Ja'Kobi Lane,WR,2026,80,BAL,22.0,USC,Power4,,,,2,19.4,,
Ted Hurst,WR,2026,84,TAM,22.0,Georgia St.,G5,76.0,206.0,4.42,4,,,
Will Kacmarek,TE,2026,87,MIA,23.0,Ohio St.,Power4,77.62,261.0,4.74,3,,,
Zavion Thomas,WR,2026,89,CHI,21.0,LSU,Power4,70.0,190.0,4.28,2,,,
Kaelon Black,RB,2026,90,SFO,24.0,Indiana,Power4,,,,2,,,
Chris Bell,WR,2026,94,MIA,22.0,Louisville,Power4,73.88,222.0,,3,32.0,,
Eli Raridon,TE,2026,95,NWE,22.0,Notre Dame,Power4,78.0,245.0,4.62,3,,,
Brenen Thompson,WR,2026,105,LAC,23.0,Mississippi St.,Power4,69.0,164.0,4.26,4,,,
Jonah Coleman,RB,2026,108,DEN,23.0,Washington,Power4,68.12,220.0,,3,,35.2,
Cade Klubnik,QB,2026,110,NYJ,22.0,Clemson,Power4,74.25,207.0,,3,,,
Elijah Sarratt,WR,2026,115,BAL,23.0,Indiana,Power4,74.5,210.0,,2,,,
Kaden Wetjen,WR,2026,121,PIT,24.0,Iowa,Power4,69.0,193.0,4.47,2,,,
Skyler Bell,WR,2026,125,BUF,24.0,Connecticut,G5,71.62,192.0,4.4,3,34.6,,
Bryce Lance,WR,2026,136,NOR,24.0,North Dakota St.,FCS,75.0,204.0,4.34,2,,,
Colbie Young,WR,2026,140,CIN,24.0,Georgia,Power4,76.75,218.0,4.49,2,,,
Reggie Virgil,WR,2026,143,ARI,22.0,Texas Tech,Power4,75.0,187.0,4.57,3,18.1,,
Justin Joly,TE,2026,152,DEN,22.0,North Carolina St.,Power4,75.62,241.0,,3,,,
Max Bredeson,TE,2026,159,MIN,23.0,Michigan,Power4,74.0,252.0,,3,,,
Emmett Johnson,RB,2026,161,KAN,22.0,Nebraska,Power4,70.25,202.0,4.56,3,,76.5,
Tanner Koziol,TE,2026,164,JAX,,Houston,Power4,78.5,247.0,4.7,3,,,
Nicholas Singleton,RB,2026,165,TEN,22.0,Penn St.,Power4,72.25,219.0,,3,,,
Kendrick Law,WR,2026,168,DET,23.0,Kentucky,Power4,71.0,203.0,4.45,3,22.3,,
Riley Nowakowski,TE,2026,169,PIT,24.0,Indiana,Power4,74.0,250.0,4.66,3,,,
Joe Royer,TE,2026,170,CLE,24.0,Cincinnati,Power4,77.0,247.0,,3,,,
Josh Cuevas,TE,2026,173,BAL,22.0,Alabama,Power4,75.0,245.0,4.65,3,,,
Adam Randall,RB,2026,174,BAL,22.0,Clemson,Power4,75.38,232.0,4.5,2,,,
Cyrus Allen,WR,2026,176,KAN,23.0,Cincinnati,Power4,,,,3,,,
Cole Payton,QB,2026,178,PHI,23.0,North Dakota St.,FCS,74.62,232.0,4.56,3,,,
Seydou Traore,TE,2026,180,MIA,,Mississippi St.,Power4,,,,3,,,
Taylen Green,QB,2026,182,CLE,23.0,Arkansas,Power4,77.88,227.0,4.36,3,,,
Bauer Sharp,TE,2026,185,TAM,23.0,LSU,Power4,77.0,249.0,4.63,3,,,
Kaytron Allen,RB,2026,187,WAS,23.0,Penn St.,Power4,71.38,216.0,,4,,57.5,
Barion Brown,WR,2026,190,NOR,,LSU,Power4,71.0,177.0,4.4,2,,,
Josh Cameron,WR,2026,191,JAX,23.0,Baylor,Power4,73.5,220.0,,4,,,
Malik Benson,WR,2026,195,LVR,,Oregon,Power4,72.0,189.0,4.37,2,18.9,,
CJ Daniels,WR,2026,197,LAR,,Miami (FL),Power4,74.0,202.0,,3,13.7,,
Demond Claiborne,RB,2026,198,MIN,22.0,Wake Forest,Power4,69.75,188.0,4.37,3,,,
CJ Williams,WR,2026,203,JAX,,Stanford,Power4,,,,4,,,
Lewis Bond,WR,2026,204,HOU,,Boston Col.,Power4,,,,2,29.5,,
Anthony Smith,WR,2026,218,DAL,,East Carolina,G5,,,,3,,,
Jack Endries,TE,2026,221,CIN,22.0,Texas,Power4,76.62,245.0,4.62,3,,,
Athan Kaliakmanis,QB,2026,223,WAS,,Rutgers,Power4,,,,3,,,
Jaren Kanak,TE,2026,225,TEN,22.0,Oklahoma,Power4,74.0,234.0,4.52,3,,,
Behren Morton,QB,2026,234,NWE,,Texas Tech,Power4,74.12,221.0,,3,,,
Seth McGowan,RB,2026,237,IND,24.0,Kentucky,Power4,72.25,223.0,4.49,2,,43.4,
Jam Miller,RB,2026,245,NWE,22.0,Alabama,Power4,70.25,209.0,4.42,3,,,
Carsen Ryan,TE,2026,248,CLE,23.0,BYU,Power4,,,,3,,,
Garrett Nussmeier,QB,2026,249,KAN,,LSU,Power4,73.62,203.0,,3,,,
Deion Burks,WR,2026,254,IND,23.0,Oklahoma,Power4,69.75,180.0,4.3,4,,,
Dallen Bentley,TE,2026,256,DEN,25.0,Utah,Power4,76.0,253.0,4.62,3,,,
