Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rec FD,Rush Attempts,Rush Yards,Rush TDs,Rush FD,Fumbles,Projections
0,Josh Allen,QB,474.0,313.0,24.5,3624.5,10.0,,,,,110.0,499.5,11.5,53.5,3.0,349.93
1,Jahmyr Gibbs,RB,,,,,,60.5,449.5,4.5,53.3,255.0,1199.5,12.5,125.1,1.0,327.4
2,Bijan Robinson,RB,,,,,,65.5,574.5,3.5,53.7,280.0,1174.5,8.5,137.2,2.0,310.4
3,Drake Maye,QB,505.0,344.0,26.5,3799.5,11.0,,,,,85.0,424.5,3.5,41.6,3.0,306.43
4,Ja'Marr Chase,WR,,,,,,108.5,1324.5,10.5,134.5,3.0,16.0,,1.6,1.0,305.55
5,Joe Burrow,QB,549.0,377.0,32.5,3999.5,10.0,,,,,46.0,138.0,2.0,13.8,3.0,303.78
6,Jalen Hurts,QB,462.0,300.0,22.5,3249.5,8.0,,,,,120.0,424.5,8.5,51.5,3.0,301.43
7,Trevor Lawrence,QB,522.0,329.0,25.5,3774.5,12.0,,,,,79.0,339.0,5.0,33.9,3.0,300.88
8,Christian McCaffrey,RB,,,,,,68.5,574.5,4.5,60.6,240.0,949.5,8.5,98.4,2.0,294.9
9,Jayden Daniels,QB,479.0,318.0,21.5,3249.5,9.0,,,,,126.0,549.5,6.0,68.6,3.0,293.93
10,Puka Nacua,WR,,,,,,109.5,1324.5,7.5,140.0,10.0,55.0,,5.5,1.0,292.45
11,Lamar Jackson,QB,415.0,270.0,24.5,3249.5,8.0,,,,,119.0,574.5,3.5,66.8,4.0,292.43
12,Brock Purdy,QB,494.0,333.0,27.5,3799.5,13.0,,,,,64.0,242.0,3.0,24.2,3.0,289.18
13,Jaxon Smith-Njigba,WR,,,,,,101.5,1324.5,8.5,134.3,6.0,33.0,,3.3,1.0,288.25
14,Amon-Ra St. Brown,WR,,,,,,104.5,1249.5,9.5,124.9,3.0,16.0,,1.6,1.0,288.05
15,Patrick Mahomes,QB,555.0,370.0,29.0,3962.0,12.0,,,,,47.0,202.0,1.0,20.2,2.0,286.68
16,Justin Herbert,QB,533.0,355.0,25.5,3650.5,10.0,,,,,70.0,338.0,3.0,33.8,3.0,285.82
17,Caleb Williams,QB,514.0,316.0,24.5,3649.5,10.0,,,,,75.0,373.0,3.0,37.3,3.0,285.28
18,Jared Goff,QB,533.0,362.0,29.5,4099.5,10.0,,,,,29.0,53.0,1.0,5.3,3.0,281.28
19,Bo Nix,QB,555.0,366.0,24.5,3499.5,12.0,,,,,76.0,330.0,4.0,33.0,3.0,278.98
20,Dak Prescott,QB,580.0,389.0,27.5,3999.5,13.0,,,,,44.0,152.0,1.0,15.2,2.0,278.18
21,Matthew Stafford,QB,528.0,343.0,30.5,3949.5,11.0,,,,,27.0,19.0,,1.9,2.0,270.88
22,Baker Mayfield,QB,526.0,343.0,25.5,3599.5,13.0,,,,,63.0,306.0,2.0,30.6,4.0,269.58
23,Jaxson Dart,QB,495.0,322.0,19.5,3150.5,12.0,,,,,106.0,449.5,5.5,53.9,3.0,265.97
24,Kyler Murray,QB,465.0,311.0,20.0,3285.0,9.0,,,,,83.0,488.0,3.0,48.8,3.0,265.2
