Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Drafted
Malik Washington,WR,Virginia,5-9,191,4.47,42.5,19.0,126.0,,,MIA/6/184/2024
Devaughn Vele,WR,Utah,6-4,203,4.47,36.0,,126.0,,,DEN/7/235/2024
Brian Thomas Jr.,WR,LSU,6-3,209,4.33,38.5,11.0,126.0,,,JAX/1/23/2024
Ja'Lynn Polk,WR,Washington,6-1,203,4.52,37.5,,129.0,,,NE/2/37/2024
Ricky Pearsall,WR,Florida,6-1,189,4.41,42.0,17.0,129.0,6.64,4.05,SF/1/31/2024
Rome Odunze,WR,Washington,6-3,212,4.45,39.0,,124.0,6.88,4.03,CHI/1/9/2024
Malik Nabers,WR,LSU,6-0,200,,,,,,,NYG/1/6/2024
Adonai Mitchell,WR,Texas,6-2,205,4.34,39.5,,136.0,,,IND/2/52/2024
Jalen McMillan,WR,Washington,6-1,197,4.47,37.0,,127.0,6.94,4.18,TB/3/92/2024
Ladd McConkey,WR,Georgia,6-0,186,4.39,36.0,13.0,124.0,,,LAC/2/34/2024
Xavier Legette,WR,South Carolina,6-1,221,4.39,40.0,,126.0,,,CAR/1/32/2024
Marvin Harrison Jr.,WR,Ohio St.,6-3,209,,,,,,,ARI/1/4/2024
Troy Franklin,WR,Oregon,6-2,176,4.41,39.0,,124.0,6.9,4.31,DEN/4/102/2024
Keon Coleman,WR,Florida St.,6-3,213,4.61,38.0,,127.0,,,BUF/2/33/2024
Jalen Coker,WR,Holy Cross,6-1,208,4.57,42.5,,128.0,,,UDFA/CAR/2024
