Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Malik Washington,2019,Northwestern,Big Ten,FR,WR,11.0,0.0,0.0,0.0,0.0,0.0,6,25,4.2,0,2.3,6.0,25.0,4.2,0.0,
Malik Washington,2020,Northwestern,Big Ten,SO,WR,5.0,1.0,8.0,8.0,0.0,1.6,5,51,10.2,0,10.2,6.0,59.0,9.8,0.0,
Malik Washington,2021,Northwestern,Big Ten,JR,WR,12.0,5.0,-2.0,-0.4,0.0,-0.2,44,578,13.1,2,48.2,49.0,576.0,11.8,2.0,
Malik Washington,2022,Northwestern,Big Ten,SR,WR,12.0,9.0,16.0,1.8,0.0,1.3,65,694,10.7,1,57.8,74.0,710.0,9.6,1.0,
Malik Washington,2023,Virginia,ACC,SR,WR,12.0,3.0,7.0,2.3,0.0,0.6,110,1426,13.0,9,118.8,113.0,1433.0,12.7,9.0,
Devaughn Vele,2019,Utah,Pac-12,FR,WR,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
Devaughn Vele,2020,Utah,Pac-12,FR,WR,5.0,0.0,0.0,0.0,0.0,0.0,2,12,6.0,0,2.4,2.0,12.0,6.0,0.0,
Devaughn Vele,2021,Utah,Pac-12,FR,WR,14.0,0.0,0.0,0.0,0.0,0.0,23,389,16.9,1,27.8,23.0,389.0,16.9,1.0,
Devaughn Vele,2022,Utah,Pac-12,SO,WR,14.0,2.0,-4.0,-2.0,0.0,-0.3,55,695,12.6,5,49.6,57.0,691.0,12.1,5.0,
Devaughn Vele,2023,Utah,Pac-12,JR,WR,10.0,0.0,0.0,0.0,0.0,0.0,43,593,13.8,3,59.3,43.0,593.0,13.8,3.0,
Brian Thomas Jr.,2021,LSU,SEC,FR,WR,12.0,2.0,6.0,3.0,0.0,0.5,28,359,12.8,2,29.9,30.0,365.0,12.2,2.0,
Brian Thomas Jr.,2022,LSU,SEC,SO,WR,13.0,0.0,0.0,0.0,0.0,0.0,31,361,11.6,5,27.8,31.0,361.0,11.6,5.0,
Brian Thomas Jr.,2023,LSU,SEC,JR,WR,13.0,1.0,-6.0,-6.0,0.0,-0.5,68,1177,17.3,17,90.5,69.0,1171.0,17.0,17.0,
Ja'Lynn Polk,2020,Texas Tech,Big 12,FR,WR,10.0,0.0,0.0,0.0,0.0,0.0,28,264,9.4,2,26.4,28.0,264.0,9.4,2.0,
Ja'Lynn Polk,2021,Washington,Pac-12,FR,WR,3.0,0.0,0.0,0.0,0.0,0.0,5,114,22.8,1,38.0,5.0,114.0,22.8,1.0,
Ja'Lynn Polk,2022,Washington,Pac-12,FR,WR,13.0,1.0,15.0,15.0,0.0,1.2,41,694,16.9,6,53.4,42.0,709.0,16.9,6.0,
Ja'Lynn Polk,2023,Washington,Pac-12,SO,WR,15.0,4.0,32.0,8.0,1.0,2.1,69,1159,16.8,9,77.3,73.0,1191.0,16.3,10.0,
Ricky Pearsall,2019,Arizona State,Pac-12,FR,WR,13.0,1.0,1.0,1.0,0.0,0.1,7,128,18.3,0,9.8,8.0,129.0,16.1,0.0,
Ricky Pearsall,2020,Arizona State,Pac-12,SO,WR,4.0,3.0,33.0,11.0,1.0,8.3,6,86,14.3,1,21.5,9.0,119.0,13.2,2.0,
Ricky Pearsall,2021,Arizona State,Pac-12,JR,WR,13.0,6.0,44.0,7.3,1.0,3.4,48,580,12.1,4,44.6,54.0,624.0,11.6,5.0,
Ricky Pearsall,2022,Florida,SEC,SR,WR,13.0,8.0,113.0,14.1,1.0,8.7,33,661,20.0,5,50.8,41.0,774.0,18.9,6.0,
Ricky Pearsall,2023,Florida,SEC,SR,WR,12.0,3.0,62.0,20.7,2.0,5.2,65,965,14.8,4,80.4,68.0,1027.0,15.1,6.0,
Rome Odunze,2020,Washington,Pac-12,FR,WR,4.0,3.0,-16.0,-5.3,0.0,-4.0,6,72,12.0,0,18.0,9.0,56.0,6.2,0.0,
Rome Odunze,2021,Washington,Pac-12,FR,WR,9.0,2.0,13.0,6.5,0.0,1.4,41,415,10.1,4,46.1,43.0,428.0,10.0,4.0,
Rome Odunze,2022,Washington,Pac-12,SO,WR,12.0,3.0,6.0,2.0,1.0,0.5,75,1145,15.3,7,95.4,78.0,1151.0,14.8,8.0,
Rome Odunze,2023,Washington,Pac-12,JR,WR,15.0,2.0,37.0,18.5,1.0,2.5,92,1640,17.8,13,109.3,94.0,1677.0,17.8,14.0,AA
Malik Nabers,2021,LSU,SEC,FR,WR,11.0,4.0,23.0,5.8,0.0,2.1,28,417,14.9,4,37.9,32.0,440.0,13.8,4.0,
Malik Nabers,2022,LSU,SEC,SO,WR,14.0,1.0,5.0,5.0,0.0,0.4,72,1017,14.1,3,72.6,73.0,1022.0,14.0,3.0,
Malik Nabers,2023,LSU,SEC,JR,WR,13.0,1.0,1.0,1.0,0.0,0.1,89,1569,17.6,14,120.7,90.0,1570.0,17.4,14.0,AA
Adonai Mitchell,2021,Georgia,SEC,FR,WR,15.0,0.0,0.0,0.0,0.0,0.0,29,426,14.7,4,28.4,29.0,426.0,14.7,4.0,
Adonai Mitchell,2022,Georgia,SEC,SO,WR,6.0,0.0,0.0,0.0,0.0,0.0,9,134,14.9,3,22.3,9.0,134.0,14.9,3.0,
Adonai Mitchell,2023,Texas,Big 12,JR,WR,14.0,2.0,1.0,0.5,0.0,0.1,55,845,15.4,11,60.4,57.0,846.0,14.8,11.0,
Jalen McMillan,2020,Washington,Pac-12,FR,WR,3.0,2.0,14.0,7.0,0.0,4.7,1,16,16.0,0,5.3,3.0,30.0,10.0,0.0,
Jalen McMillan,2021,Washington,Pac-12,FR,WR,11.0,0.0,0.0,0.0,0.0,0.0,39,470,12.1,3,42.7,39.0,470.0,12.1,3.0,
Jalen McMillan,2022,Washington,Pac-12,SO,WR,13.0,1.0,2.0,2.0,0.0,0.2,79,1098,13.9,9,84.5,80.0,1100.0,13.8,9.0,
Jalen McMillan,2023,Washington,Pac-12,JR,WR,11.0,3.0,30.0,10.0,1.0,2.7,45,559,12.4,5,50.8,48.0,589.0,12.3,6.0,
Ladd McConkey,2021,Georgia,SEC,FR,WR,15.0,4.0,44.0,11.0,1.0,2.9,31,447,14.4,5,29.8,35.0,491.0,14.0,6.0,
Ladd McConkey,2022,Georgia,SEC,SO,WR,15.0,7.0,134.0,19.1,2.0,8.9,58,762,13.1,7,50.8,65.0,896.0,13.8,9.0,
Ladd McConkey,2023,Georgia,SEC,JR,WR,9.0,2.0,38.0,19.0,1.0,4.2,30,478,15.9,2,53.1,32.0,516.0,16.1,3.0,
Xavier Legette,2019,South Carolina,SEC,FR,WR,11.0,0.0,0.0,0.0,0.0,0.0,9,80,8.9,1,7.3,9.0,80.0,8.9,1.0,
Xavier Legette,2020,South Carolina,SEC,SO,WR,6.0,0.0,0.0,0.0,0.0,0.0,7,113,16.1,0,18.8,7.0,113.0,16.1,0.0,
Xavier Legette,2021,South Carolina,SEC,JR,WR,11.0,0.0,0.0,0.0,0.0,0.0,8,63,7.9,1,5.7,8.0,63.0,7.9,1.0,
Xavier Legette,2022,South Carolina,SEC,SR,WR,13.0,7.0,21.0,3.0,0.0,1.6,18,167,9.3,3,12.8,25.0,188.0,7.5,3.0,
Xavier Legette,2023,South Carolina,SEC,SR,WR,12.0,9.0,-9.0,-1.0,0.0,-0.8,71,1255,17.7,7,104.6,80.0,1246.0,15.6,7.0,
Marvin Harrison Jr.,2021,Ohio State,Big Ten,FR,WR,13.0,0.0,0.0,0.0,0.0,0.0,11,139,12.6,3,10.7,11.0,139.0,12.6,3.0,
Marvin Harrison Jr.,2022,Ohio State,Big Ten,SO,WR,13.0,2.0,32.0,16.0,0.0,2.5,77,1263,16.4,14,97.2,79.0,1295.0,16.4,14.0,AA
Marvin Harrison Jr.,2023,Ohio State,Big Ten,JR,WR,12.0,2.0,26.0,13.0,1.0,2.2,67,1211,18.1,14,100.9,69.0,1237.0,17.9,15.0,"H-4,AA"
