player_name,team,position,adp,projection_points
Josh Allen,BUF,QB,24.0,337.5
Jalen Hurts,PHI,QB,31.0,329.1
Lamar Jackson,BAL,QB,35.0,324.8
Joe Burrow,CIN,QB,47.0,301.4
C.J. Stroud,HOU,QB,61.0,286.2
Christian McCaffrey,SF,RB,1.8,289.4
Breece Hall,NYJ,RB,6.5,262.8
Bijan Robinson,ATL,RB,7.4,258.6
Jonathan Taylor,IND,RB,12.1,241.9
Saquon Barkley,PHI,RB,14.6,236.5
Kyren Williams,LAR,RB,18.9,228.7
DeVon Achane,MIA,RB,22.4,221.2
Justin Jefferson,MIN,WR,3.2,312.5
CeeDee Lamb,DAL,WR,4.1,308.7
Tyreek Hill,MIA,WR,5.4,301.9
Amon-Ra St. Brown,DET,WR,8.9,287.3
Ja'Marr Chase,CIN,WR,9.7,284.6
A.J. Brown,PHI,WR,11.8,271.4
Garrett Wilson,NYJ,WR,15.3,258.8
Puka Nacua,LAR,WR,17.6,254.1
Drake London,ATL,WR,21.5,236.2
Nico Collins,HOU,WR,26.2,229.7
Sam LaPorta,DET,TE,28.5,214.9
Travis Kelce,KC,TE,33.4,209.7
Mark Andrews,BAL,TE,42.7,191.8
Trey McBride,ARI,TE,44.9,188.1
Dalton Kincaid,BUF,TE,58.6,171.3
